subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name,group_0_avg_exp,group_1_avg_exp
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 3820 3822 3819 3818 3809 3815
 3814 3817 3813 3811 3816 3810 3812 3807 3808 3806 3805 3804 3802 3801
 3799 3797 3800 3798 3793 3795 3796 3794 3790 3792 3791 3789 3787 3788
 3784 3782 3783 3786 3785 3780 3781 3779 3778 3776 3774 3777 3773 3775
 3772 3770]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 414317.38101275 414241.02940356
 414181.77130986 414036.00192034 413750.91276633 413412.64548649
 413172.46980451 413068.35028155 412886.58304454 412565.23765848
 412489.2960643  412442.94930579 412043.00065248 410246.60903733
 409713.76697873 409111.69473932 408665.84398215 408102.05241329
 407715.34631586 406834.92238245 406073.92407069 405861.85117807
 405844.72602539 405764.0781432  404415.98929374 404412.82243965
 404304.53554031 403777.50759193 403154.145306   403035.46912021
 402835.415297   402007.25497558 401271.37625707 400322.76128699
 399090.27273334 398604.55470273 397896.70353831 397589.67813732
 397474.32733188 397421.21140406 397111.34769961 395627.44411743
 395109.60980687 394720.94531367 394190.89384205 393587.09807991
 392543.89860741 392433.38547666 390766.89829347 390151.9838947 ]",1,equal,1.0,fagins,0.0,7.445873832702636,217776,1.0,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,1.0,0.0,100,0,8010,89616,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 5500 5499 5498 5497 5496 5495
 5494 5493 5492 5491 5490 5484 5487 5486 5489 5488 5485 5480 5483 5482
 5481 5479 5478 5477 5476 5475 5474 5473 5472 5470 5471 5466 5469 5468
 5463 5467 5465 5461 5464 5462 5458 5456 5460 5455 5457 5459 5454 5445
 5444 5453]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 236949.19003096 235316.95078935
 233174.97660705 220702.85549669 217326.02662264 217320.26214162
 215398.07617248 215260.25122555 211501.15044056 211201.29661643
 210725.85330261 208535.95057298 208430.53355942 208258.22022298
 208218.60563534 207625.66913498 206432.31255978 206307.49770621
 205353.93529893 204978.60683333 204740.73660736 203987.35920115
 202924.57416858 201668.62780661 200605.65133371 200443.11271088
 200181.35672    199622.99044731 199486.06752465 199057.1278892
 198793.93217104 197406.47093673 197308.34893664 196894.62082419
 196601.55506047 196474.51504371 196432.34863014 196249.2804317
 195901.55580457 195810.05113391 195459.09997342 195154.47278408
 195082.24365893 195009.21169007 194945.85889881 194578.42630149
 193837.18883591 193411.36654133 193307.49502227 193189.50293596]",0,equal,0.7643447720887285,fair-fagins,1.0,7.477879238128662,217776,1.0,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,0.5,0.5,50,50,9030,73296,bean,n/a,n/a
"[3835 3839 3777 3788 3779 3863 3870 3842 3824 3791 3832 3852 3836 3817
 3866 3869 3819 3834 3855 3856 3849 3795 3793 3798 3857 3867 3868 3794
 3781 3814 3772 3787 3848 3812 3847 3816 3854 3797 3774 3783 3823 3800
 3813 3841 3831 3837 3810 3786 3796 3809 3860 3862 3865 3773 3822 3829
 3808 3776 3811 3782 3859 3864 3790 3818 3843 3826 3803 3850 3799 3807
 3830 3785 3784 3840 3833 3815 3851 3827 3770 3805 3846 3780 3806 3828
 3804 3802 3775 3845 3861 3778 3838 3820 3801 3853 3844 3825 3821 3858
 3789 3792]","[424259.44802301 432528.91856457 393587.09807991 400322.76128699
 395627.44411743 467408.65381888 521625.38132333 436682.57853609
 416481.54922559 402835.415297   421802.02634925 448957.00438733
 427281.47389418 413068.35028155 481570.8766323  512520.0940615
 414181.77130986 424499.52530438 452382.37729166 452688.43990023
 441910.6362841  404412.82243965 404415.98929374 405764.0781432
 453801.14435689 489252.49397505 503121.52316528 403777.50759193
 397111.34769961 413172.46980451 390766.89829347 401271.37625707
 440999.94962339 412043.00065248 437231.8133528  412489.2960643
 451760.24444888 405861.85117807 394190.89384205 397896.70353831
 417113.26052478 405844.72602539 412886.58304454 434570.53378869
 421340.67925066 427158.16365392 412442.94930579 397589.67813732
 404304.53554031 413750.91276633 461697.75621774 467586.89134617
 476714.91859177 392543.89860741 414241.02940356 424423.20432922
 409713.76697873 394720.94531367 412565.23765848 398604.55470273
 457514.31374822 474627.93622571 403154.145306   414036.00192034
 434755.51279523 417911.12146862 415244.03757672 445685.57704726
 406073.92407069 410246.60903733 420073.15987943 397474.32733188
 399090.27273334 431890.78965618 422584.51958592 413412.64548649
 444558.37461248 417473.45572859 390151.9838947  408665.84398215
 436296.6979017  397421.21140406 409111.69473932 419423.83788843
 408102.05241329 407715.34631586 392433.38547666 438369.19071309
 460265.97837379 395109.60980687 429033.29737511 414317.38101276
 406834.92238245 450123.34100756 435767.69781037 416191.19014129
 416527.31617707 457276.82309675 402007.25497558 403035.46912021]",1,equal,1.0,ta,0.0,0.9820204734802246,13088,0.060098449783263536,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,1.0,0.0,100,0,101,17552,bean,n/a,n/a
"[3827 3863 3870 3824 3836 3866 3869 3828 3826 3857 3867 3868 3848 3839
 3847 3854 3853 3841 3835 3837 3860 3862 3865 3834 3823 3825 3859 3864
 3855 3833 3844 3830 3851 3843 3846 3832 3845 3861 3850 3821 3858 3852
 3803 3829 3838 3842 3849 3856 3840 3831 5492 5475 5455 5488 5482 5461
 5477 5470 5459 5478 5487 5479 5445 5472 5486 5469 5493 5467 5462 5495
 5473 5474 5476 5465 5444 5480 5466 5468 5483 5498 5464 5500 5494 5496
 5457 5491 5454 5489 5463 5497 5481 5471 5484 5490 5458 5456 5460 5485
 5499 5453]","[417473.45572859 467408.65381888 521625.38132333 416481.54922559
 427281.47389418 481570.8766323  512520.0940615  419423.83788843
 417911.12146862 453801.14435689 489252.49397505 503121.52316528
 440999.94962339 432528.91856457 437231.8133528  451760.24444888
 450123.34100756 434570.53378869 424259.44802301 427158.16365392
 461697.75621774 467586.89134617 476714.91859177 424499.52530438
 417113.26052478 416191.19014129 457514.31374822 474627.93622571
 452382.37729166 422584.51958592 435767.69781037 420073.15987943
 444558.37461248 434755.51279523 436296.6979017  421802.02634925
 438369.19071309 460265.97837379 445685.57704726 416527.31617707
 457276.82309675 448957.00438733 415244.03757672 424423.20432922
 429033.29737511 436682.57853609 441910.6362841  452688.43990023
 431890.78965618 421340.67925066 211501.15044056 200443.11271088
 195009.21169007 207625.66913498 204978.60683333 196249.2804317
 201668.62780661 199057.1278892  194578.42630149 202924.57416858
 208430.53355942 203987.35920115 193411.36654133 199486.06752465
 208258.22022298 197308.34893664 215260.25122555 196474.51504371
 195810.05113391 217320.26214162 199622.99044731 200181.35672
 200605.65133371 196432.34863014 193307.49502227 206307.49770621
 197406.47093673 196894.62082419 205353.93529893 233174.97660705
 195901.55580457 236949.19003096 215398.07617248 217326.02662265
 194945.85889881 211201.29661643 193837.18883591 208218.60563534
 196601.55506047 220702.85549669 204740.73660736 198793.93217104
 208535.95057298 210725.85330261 195459.09997342 195154.47278408
 195082.24365893 206432.31255978 235316.95078935 193189.50293597]",0,equal,0.7643447720887285,fair-ta,1.0,5.72128472328186,60960,0.27992065241348907,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,0.5,0.5,50,50,589,101311,bean,n/a,n/a
"[3835 3839 3777 3788 3779 3863 3870 3842 3824 3791 3832 3852 3836 3817
 3866 3869 3819 3834 3855 3856 3849 3795 3793 3798 3857 3867 3868 3794
 3781 3814 3772 3787 3848 3812 3847 3816 3854 3797 3774 3783 3823 3800
 3813 3841 3831 3837 3810 3786 3796 3809 3860 3862 3865 3773 3822 3829
 3808 3776 3811 3782 3859 3864 3790 3818 3843 3826 3803 3850 3799 3807
 3830 3785 3784 3840 3833 3815 3851 3827 3770 3805 3846 3780 3806 3828
 3804 3802 3775 3845 3861 3778 3838 3820 3801 3853 3844 3825 3821 3858
 3789 3792]","[424259.44802301 432528.91856457 393587.09807991 400322.76128699
 395627.44411743 467408.65381888 521625.38132333 436682.57853609
 416481.54922559 402835.415297   421802.02634925 448957.00438733
 427281.47389418 413068.35028155 481570.8766323  512520.0940615
 414181.77130986 424499.52530438 452382.37729166 452688.43990023
 441910.6362841  404412.82243965 404415.98929374 405764.0781432
 453801.14435689 489252.49397505 503121.52316528 403777.50759193
 397111.34769961 413172.46980451 390766.89829347 401271.37625707
 440999.94962339 412043.00065248 437231.8133528  412489.2960643
 451760.24444888 405861.85117807 394190.89384205 397896.70353831
 417113.26052478 405844.72602539 412886.58304454 434570.53378869
 421340.67925066 427158.16365392 412442.94930579 397589.67813732
 404304.53554031 413750.91276633 461697.75621774 467586.89134617
 476714.91859177 392543.89860741 414241.02940356 424423.20432922
 409713.76697873 394720.94531367 412565.23765848 398604.55470273
 457514.31374822 474627.93622571 403154.145306   414036.00192034
 434755.51279523 417911.12146862 415244.03757672 445685.57704726
 406073.92407069 410246.60903733 420073.15987943 397474.32733188
 399090.27273334 431890.78965618 422584.51958592 413412.64548649
 444558.37461248 417473.45572859 390151.9838947  408665.84398215
 436296.6979017  397421.21140406 409111.69473932 419423.83788843
 408102.05241329 407715.34631586 392433.38547666 438369.19071309
 460265.97837379 395109.60980687 429033.29737511 414317.38101276
 406834.92238245 450123.34100756 435767.69781037 416191.19014129
 416527.31617707 457276.82309675 402007.25497558 403035.46912021]",1,equal,1.0,bpa,0.0,0.9446122169494628,12576,0.057747410182940266,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,1.0,0.0,100,0,97,16843,bean,n/a,n/a
"[3827 3863 3870 3824 3836 3866 3869 3828 3826 3857 3867 3868 3848 3839
 3847 3854 3853 3841 3835 3837 3860 3862 3865 3834 3823 3825 3859 3864
 3855 3833 3844 3830 3851 3843 3846 3832 3845 3861 3850 3821 3858 3852
 3803 3829 3838 3842 3849 3856 3840 3831 5492 5475 5455 5488 5482 5461
 5477 5470 5459 5478 5487 5479 5445 5472 5486 5469 5493 5467 5462 5495
 5473 5474 5476 5465 5444 5480 5466 5468 5483 5498 5464 5500 5494 5496
 5457 5491 5454 5489 5463 5497 5481 5471 5484 5490 5458 5456 5460 5485
 5499 5453]","[417473.45572859 467408.65381888 521625.38132333 416481.54922559
 427281.47389418 481570.8766323  512520.0940615  419423.83788843
 417911.12146862 453801.14435689 489252.49397505 503121.52316528
 440999.94962339 432528.91856457 437231.8133528  451760.24444888
 450123.34100756 434570.53378869 424259.44802301 427158.16365392
 461697.75621774 467586.89134617 476714.91859177 424499.52530438
 417113.26052478 416191.19014129 457514.31374822 474627.93622571
 452382.37729166 422584.51958592 435767.69781037 420073.15987943
 444558.37461248 434755.51279523 436296.6979017  421802.02634925
 438369.19071309 460265.97837379 445685.57704726 416527.31617707
 457276.82309675 448957.00438733 415244.03757672 424423.20432922
 429033.29737511 436682.57853609 441910.6362841  452688.43990023
 431890.78965618 421340.67925066 211501.15044056 200443.11271088
 195009.21169007 207625.66913498 204978.60683333 196249.2804317
 201668.62780661 199057.1278892  194578.42630149 202924.57416858
 208430.53355942 203987.35920115 193411.36654133 199486.06752465
 208258.22022298 197308.34893664 215260.25122555 196474.51504371
 195810.05113391 217320.26214162 199622.99044731 200181.35672
 200605.65133371 196432.34863014 193307.49502227 206307.49770621
 197406.47093673 196894.62082419 205353.93529893 233174.97660705
 195901.55580457 236949.19003096 215398.07617248 217326.02662265
 194945.85889881 211201.29661643 193837.18883591 208218.60563534
 196601.55506047 220702.85549669 204740.73660736 198793.93217104
 208535.95057298 210725.85330261 195459.09997342 195154.47278408
 195082.24365893 206432.31255978 235316.95078935 193189.50293597]",0,equal,0.7643447720887285,fair-bpa,1.0,5.716081809997559,60640,0.2784512526632871,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,0.5,0.5,50,50,586,100775,bean,n/a,n/a
"[3843 3785 3842 3778 3777 3863 3870 3835 3831 3819 3833 3847 3773 3796
 3866 3869 3817 3772 3820 3795 3788 3804 3792 3825 3857 3867 3868 3814
 3808 3849 3848 3793 3801 3818 3813 3807 3794 3854 3862 3865 3805 3853
 3802 3798 3776 3811 3841 3859 3864 3781 3816 3780 3844 3828 3809 3803
 3812 3786 3815 3851 3860 3861 3823 3783 3852 3782 3838 3832 3787 3775
 3845 3858 3806 3822 3784 3800 3789 3850 3770 3839 3791 3821 3856 3790
 3830 3846 3779 3836 3774 3799 3829 3840 3855 3810 3827 3797 3837 3824
 3834 3826]","[434755.51279523 397474.32733188 436682.57853609 395109.60980687
 393587.09807991 467408.65381888 521625.38132333 424259.44802301
 421340.67925066 414181.77130986 422584.51958592 437231.8133528
 392543.89860741 404304.53554031 481570.8766323  512520.0940615
 413068.35028155 390766.89829347 414317.38101275 404412.82243965
 400322.76128699 408102.05241329 403035.46912021 416191.19014129
 453801.14435689 489252.49397505 503121.52316528 413172.46980451
 409713.76697873 441910.6362841  440999.94962339 404415.98929374
 406834.92238245 414036.00192034 412886.58304454 410246.60903733
 403777.50759193 451760.24444888 467586.89134617 476714.91859177
 408665.84398215 450123.34100756 407715.34631586 405764.0781432
 394720.94531367 412565.23765848 434570.53378869 457514.31374822
 474627.93622571 397111.34769961 412489.2960643  397421.21140406
 435767.69781037 419423.83788844 413750.91276633 415244.03757672
 412043.00065248 397589.67813732 413412.64548649 444558.37461248
 461697.75621774 460265.97837379 417113.26052478 397896.70353831
 448957.00438733 398604.55470274 429033.29737511 421802.02634925
 401271.37625707 392433.38547666 438369.19071309 457276.82309675
 409111.69473932 414241.02940356 399090.27273334 405844.72602539
 402007.25497558 445685.57704726 390151.9838947  432528.91856457
 402835.415297   416527.31617707 452688.43990023 403154.145306
 420073.15987943 436296.6979017  395627.44411743 427281.47389418
 394190.89384205 406073.92407069 424423.20432922 431890.78965618
 452382.37729166 412442.94930579 417473.45572859 405861.85117807
 427158.16365392 416481.54922559 424499.52530438 417911.12146862]",1,equal,1.0,bpa2,0.0,0.18984084129333495,6672,0.030636984791712587,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,1.0,0.0,100,0,2,6640,bean,n/a,n/a
"[3803 3863 3870 3832 3838 3866 3869 3826 3833 3857 3867 3868 3839 3830
 3834 3854 3862 3865 3828 3841 3859 3864 3850 3836 3844 3827 3851 3860
 3861 3847 3846 3837 3845 3858 3848 3831 3823 3821 3856 3842 3829 3840
 3855 3852 3824 3849 3853 3825 3835 3843 5464 5497 5486 5482 5500 5475
 5456 5498 5460 5490 5445 5468 5455 5472 5492 5496 5466 5473 5469 5444
 5478 5499 5457 5458 5454 5474 5495 5470 5479 5465 5491 5453 5483 5462
 5480 5484 5494 5459 5477 5493 5471 5467 5461 5485 5481 5487 5488 5476
 5489 5463]","[415244.03757672 467408.65381888 521625.38132333 421802.02634925
 429033.29737511 481570.8766323  512520.0940615  417911.12146862
 422584.51958592 453801.14435689 489252.49397505 503121.52316528
 432528.91856457 420073.15987943 424499.52530438 451760.24444888
 467586.89134617 476714.91859177 419423.83788844 434570.53378869
 457514.31374822 474627.93622571 445685.57704726 427281.47389418
 435767.69781037 417473.45572859 444558.37461248 461697.75621774
 460265.97837379 437231.8133528  436296.6979017  427158.16365392
 438369.19071309 457276.82309675 440999.94962339 421340.67925066
 417113.26052478 416527.31617707 452688.43990023 436682.57853609
 424423.20432922 431890.78965618 452382.37729166 448957.00438733
 416481.54922559 441910.6362841  450123.34100756 416191.19014129
 424259.44802301 434755.51279523 195901.55580457 220702.85549669
 208258.22022298 204978.60683333 236949.19003096 200443.11271088
 195154.47278408 233174.97660705 195082.24365893 210725.85330261
 193411.36654133 196894.62082419 195009.21169007 199486.06752465
 211501.15044056 217326.02662264 197406.47093673 199622.99044732
 197308.34893664 193307.49502227 202924.57416858 235316.95078935
 194945.85889881 195459.09997342 193837.18883591 200181.35672
 217320.26214162 199057.1278892  203987.35920115 196432.34863014
 211201.29661643 193189.50293596 205353.93529893 195810.05113391
 206307.49770621 208535.95057298 215398.07617248 194578.42630149
 201668.62780661 215260.25122555 198793.93217104 196474.51504371
 196249.2804317  206432.31255978 204740.73660736 208430.53355942
 207625.66913498 200605.65133371 208218.60563534 196601.55506047]",0,equal,0.7643447720887285,fair-bpa2,1.0,0.8603931427001953,30336,0.13929909631915363,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,0.5,0.5,50,50,2,30304,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 3820 3822 3819 3818 3809 3815
 3814 3817 3813 3811 3816 3810 3812 3807 3808 3806 3805 3804 3802 3801
 3799 3797 3800 3798 3793 3795 3796 3794 3790 3792 3791 3789 3787 3788
 3784 3782 3783 3786 3785 3780 3781 3779 3778 3776 3774 3777 3773 3775
 3772 3770]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.81335281 436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052478 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 414317.38101276 414241.02940356
 414181.77130986 414036.00192034 413750.91276633 413412.64548649
 413172.46980451 413068.35028155 412886.58304454 412565.23765848
 412489.2960643  412442.94930579 412043.00065248 410246.60903733
 409713.76697873 409111.69473932 408665.84398215 408102.05241329
 407715.34631586 406834.92238245 406073.92407069 405861.85117807
 405844.72602539 405764.0781432  404415.98929374 404412.82243965
 404304.53554031 403777.50759193 403154.145306   403035.46912021
 402835.415297   402007.25497558 401271.37625707 400322.76128699
 399090.27273334 398604.55470274 397896.70353831 397589.67813732
 397474.32733188 397421.21140406 397111.34769961 395627.44411743
 395109.60980687 394720.94531367 394190.89384205 393587.09807991
 392543.89860741 392433.38547666 390766.89829347 390151.9838947 ]",n/a,equal,1.0,fa*ir-protected0-p=0.5,0.0,14.824128818511962,217776,1.0,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,1.0,0.0,100,0,13611,0,bean,n/a,n/a
"[3870 3869 3868 3867 3866 5500 3865 3864 5499 3862 3863 5498 3860 3861
 5497 3859 3858 5496 3857 3856 5495 3855 5494 3854 3853 5493 3852 5492
 3850 3851 5491 3849 5490 3848 5484 3845 3847 5487 3842 5486 3846 3844
 5489 3843 5488 3841 5485 3839 3840 5480 3838 5483 3836 5482 3837 3834
 5481 3829 5479 3835 5478 3833 3832 5477 3831 5476 3830 5475 3828 3826
 5474 3827 5473 3823 5472 3821 5470 3824 3825 5471 3803 5466 3820 5469
 3822 5468 3819 3818 5463 3809 5467 3815 5465 3814 5461 3817 3813 5464
 3811 5462]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  236949.19003096 476714.91859177 474627.93622571
 235316.95078935 467586.89134617 467408.65381888 233174.97660705
 461697.75621774 460265.97837379 220702.85549669 457514.31374822
 457276.82309675 217326.02662265 453801.14435689 452688.43990023
 217320.26214162 452382.37729166 215398.07617248 451760.24444888
 450123.34100756 215260.25122555 448957.00438733 211501.15044056
 445685.57704726 444558.37461248 211201.29661643 441910.6362841
 210725.85330261 440999.94962339 208535.95057298 438369.19071309
 437231.81335281 208430.53355942 436682.57853609 208258.22022298
 436296.6979017  435767.69781037 208218.60563534 434755.51279523
 207625.66913498 434570.53378869 206432.31255978 432528.91856457
 431890.78965618 206307.49770621 429033.29737511 205353.93529893
 427281.47389418 204978.60683333 427158.16365392 424499.52530438
 204740.73660736 424423.20432922 203987.35920115 424259.44802301
 202924.57416858 422584.51958592 421802.02634925 201668.62780661
 421340.67925066 200605.65133371 420073.15987943 200443.11271088
 419423.83788843 417911.12146862 200181.35672    417473.45572859
 199622.99044731 417113.26052478 199486.06752465 416527.31617707
 199057.1278892  416481.54922559 416191.19014129 198793.93217104
 415244.03757672 197406.47093673 414317.38101276 197308.34893664
 414241.02940356 196894.62082419 414181.77130986 414036.00192034
 196601.55506047 413750.91276633 196474.51504371 413412.64548649
 196432.34863014 413172.46980451 196249.2804317  413068.35028155
 412886.58304454 195901.55580457 412565.23765848 195810.05113391]",n/a,equal,0.8160087739359426,fa*ir-protected1-p=0.5,0.6666666666666667,14.836331701278686,217776,1.0,BARBUNYA-CALI-BOMBAY-DERMASON,SEKER-SIRA-HOROZ,0.6,0.4,60,40,13611,0,bean,n/a,n/a
