subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name,group_0_avg_exp,group_1_avg_exp
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 3820 3822 3819 3818 3809 3815
 3814 3817 3813 3811 3816 3810 3812 3807 3808 3806 3805 3804 3802 3801
 3799 3797 3800 3798 3793 3795 3796 3794 3790 3792 3791 3789 3787 3788
 3784 3782 3783 3786 3785 3780 3781 3779 3778 3776 3774 3777 3773 3775
 3772 3770]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 414317.38101275 414241.02940356
 414181.77130986 414036.00192034 413750.91276633 413412.64548649
 413172.46980451 413068.35028155 412886.58304454 412565.23765848
 412489.2960643  412442.94930579 412043.00065248 410246.60903733
 409713.76697873 409111.69473932 408665.84398215 408102.05241329
 407715.34631586 406834.92238245 406073.92407069 405861.85117807
 405844.72602539 405764.0781432  404415.98929374 404412.82243965
 404304.53554031 403777.50759193 403154.145306   403035.46912021
 402835.415297   402007.25497558 401271.37625707 400322.76128699
 399090.27273334 398604.55470273 397896.70353831 397589.67813732
 397474.32733188 397421.21140406 397111.34769961 395627.44411743
 395109.60980687 394720.94531367 394190.89384205 393587.09807991
 392543.89860741 392433.38547666 390766.89829347 390151.9838947 ]",1.0,equal,1.0,fagins,0.0,7.464080715179444,217776,1.0,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,1.0,0.0,100,0,8010,89616,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 5500 5499 5498 5497 5496 5495 5494 5493 5492 5491 5490
 5484 5487 5486 5489 5488 5485 5480 5483 5482 5481 5479 5478 5477 5476
 5475 5474 5473 5472 5470 5471 5466 5469 5468 5463 5467 5465 5461 5464
 5462 5458 5456 5460 5455 5457 3823 3821 3824 3825 3803 3820 3822 3819
 3818 3809]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 236949.19003096 235316.95078935 233174.97660705
 220702.85549669 217326.02662264 217320.26214162 215398.07617248
 215260.25122555 211501.15044056 211201.29661643 210725.85330261
 208535.95057298 208430.53355942 208258.22022298 208218.60563534
 207625.66913498 206432.31255978 206307.49770621 205353.93529893
 204978.60683333 204740.73660736 203987.35920115 202924.57416858
 201668.62780661 200605.65133371 200443.11271088 200181.35672
 199622.99044731 199486.06752465 199057.1278892  198793.93217104
 197406.47093673 197308.34893664 196894.62082419 196601.55506047
 196474.51504371 196432.34863014 196249.2804317  195901.55580457
 195810.05113391 195459.09997342 195154.47278408 195082.24365893
 195009.21169007 194945.85889881 417113.26052479 416527.31617707
 416481.54922559 416191.19014129 415244.03757672 414317.38101275
 414241.02940356 414181.77130986 414036.00192034 413750.91276633]",0.1,equal,0.7903270359434595,fair-fagins,0.8181818181818181,7.698733758926392,217776,1.0,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.55,0.45,55,45,8968,74288,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 5500 5499 5498 5497 5496 5495 5494 5493 5492
 5491 5490 5484 5487 5486 5489 5488 5485 5480 5483 5482 5481 5479 5478
 5477 5476 5475 5474 5473 5472 5470 5471 5466 5469 5468 5463 5467 5465
 5461 5464 5462 5458 5456 5460 5455 5457 5459 5454 3824 3825 3803 3820
 3822 3819]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 236949.19003096
 235316.95078935 233174.97660705 220702.85549669 217326.02662264
 217320.26214162 215398.07617248 215260.25122555 211501.15044056
 211201.29661643 210725.85330261 208535.95057298 208430.53355942
 208258.22022298 208218.60563534 207625.66913498 206432.31255978
 206307.49770621 205353.93529893 204978.60683333 204740.73660736
 203987.35920115 202924.57416858 201668.62780661 200605.65133371
 200443.11271088 200181.35672    199622.99044731 199486.06752465
 199057.1278892  198793.93217104 197406.47093673 197308.34893664
 196894.62082419 196601.55506047 196474.51504371 196432.34863014
 196249.2804317  195901.55580457 195810.05113391 195459.09997342
 195154.47278408 195082.24365893 195009.21169007 194945.85889881
 194578.42630149 193837.18883591 416481.54922559 416191.19014129
 415244.03757672 414317.38101275 414241.02940356 414181.77130986]",0.05,equal,0.779969724426796,fair-fagins,0.8867924528301886,7.6859307289123535,217776,1.0,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.53,0.47,53,47,8975,74176,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 5500 5499 5498 5497 5496 5495
 5494 5493 5492 5491 5490 5484 5487 5486 5489 5488 5485 5480 5483 5482
 5481 5479 5478 5477 5476 5475 5474 5473 5472 5470 5471 5466 5469 5468
 5463 5467 5465 5461 5464 5462 5458 5456 5460 5455 5457 5459 5454 5445
 5444 5453]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 236949.19003096 235316.95078935
 233174.97660705 220702.85549669 217326.02662264 217320.26214162
 215398.07617248 215260.25122555 211501.15044056 211201.29661643
 210725.85330261 208535.95057298 208430.53355942 208258.22022298
 208218.60563534 207625.66913498 206432.31255978 206307.49770621
 205353.93529893 204978.60683333 204740.73660736 203987.35920115
 202924.57416858 201668.62780661 200605.65133371 200443.11271088
 200181.35672    199622.99044731 199486.06752465 199057.1278892
 198793.93217104 197406.47093673 197308.34893664 196894.62082419
 196601.55506047 196474.51504371 196432.34863014 196249.2804317
 195901.55580457 195810.05113391 195459.09997342 195154.47278408
 195082.24365893 195009.21169007 194945.85889881 194578.42630149
 193837.18883591 193411.36654133 193307.49502227 193189.50293596]",0.0,equal,0.7643447720887285,fair-fagins,1.0,7.527894830703735,217776,1.0,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.5,0.5,50,50,9030,73296,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 5500 5499 5498 5497 5496 5495
 5494 5493 5492 5491 5490 5484 5487 5486 5489 5488 5485 5480 5483 5482
 5481 5479 5478 5477 5476 5475 5474 5473 5472 5470 5471 5466 5469 5468
 5463 5467 5465 5461 5464 5462 5458 5456 5460 5455 5457 5459 5454 5445
 5444 5453]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 236949.19003096 235316.95078935
 233174.97660705 220702.85549669 217326.02662264 217320.26214162
 215398.07617248 215260.25122555 211501.15044056 211201.29661643
 210725.85330261 208535.95057298 208430.53355942 208258.22022298
 208218.60563534 207625.66913498 206432.31255978 206307.49770621
 205353.93529893 204978.60683333 204740.73660736 203987.35920115
 202924.57416858 201668.62780661 200605.65133371 200443.11271088
 200181.35672    199622.99044731 199486.06752465 199057.1278892
 198793.93217104 197406.47093673 197308.34893664 196894.62082419
 196601.55506047 196474.51504371 196432.34863014 196249.2804317
 195901.55580457 195810.05113391 195459.09997342 195154.47278408
 195082.24365893 195009.21169007 194945.85889881 194578.42630149
 193837.18883591 193411.36654133 193307.49502227 193189.50293596]",0.1,equal,0.7643447720887285,fair-GBG_Fagin,1.0,14.716913986206055,217776,1.0,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.5,0.5,50,50,16695,168432,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 5500 5499 5498 5497 5496 5495
 5494 5493 5492 5491 5490 5484 5487 5486 5489 5488 5485 5480 5483 5482
 5481 5479 5478 5477 5476 5475 5474 5473 5472 5470 5471 5466 5469 5468
 5463 5467 5465 5461 5464 5462 5458 5456 5460 5455 5457 5459 5454 5445
 5444 5453]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 236949.19003096 235316.95078935
 233174.97660705 220702.85549669 217326.02662264 217320.26214162
 215398.07617248 215260.25122555 211501.15044056 211201.29661643
 210725.85330261 208535.95057298 208430.53355942 208258.22022298
 208218.60563534 207625.66913498 206432.31255978 206307.49770621
 205353.93529893 204978.60683333 204740.73660736 203987.35920115
 202924.57416858 201668.62780661 200605.65133371 200443.11271088
 200181.35672    199622.99044731 199486.06752465 199057.1278892
 198793.93217104 197406.47093673 197308.34893664 196894.62082419
 196601.55506047 196474.51504371 196432.34863014 196249.2804317
 195901.55580457 195810.05113391 195459.09997342 195154.47278408
 195082.24365893 195009.21169007 194945.85889881 194578.42630149
 193837.18883591 193411.36654133 193307.49502227 193189.50293596]",0.05,equal,0.7643447720887285,fair-GBG_Fagin,1.0,14.715113639831543,217776,1.0,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.5,0.5,50,50,16695,168432,bean,n/a,n/a
"[3870 3869 3868 3867 3866 3865 3864 3862 3863 3860 3861 3859 3858 3857
 3856 3855 3854 3853 3852 3850 3851 3849 3848 3845 3847 3842 3846 3844
 3843 3841 3839 3840 3838 3836 3837 3834 3829 3835 3833 3832 3831 3830
 3828 3826 3827 3823 3821 3824 3825 3803 5500 5499 5498 5497 5496 5495
 5494 5493 5492 5491 5490 5484 5487 5486 5489 5488 5485 5480 5483 5482
 5481 5479 5478 5477 5476 5475 5474 5473 5472 5470 5471 5466 5469 5468
 5463 5467 5465 5461 5464 5462 5458 5456 5460 5455 5457 5459 5454 5445
 5444 5453]","[521625.38132333 512520.0940615  503121.52316528 489252.49397505
 481570.8766323  476714.91859177 474627.93622571 467586.89134617
 467408.65381888 461697.75621774 460265.97837379 457514.31374822
 457276.82309675 453801.14435689 452688.43990023 452382.37729166
 451760.24444888 450123.34100756 448957.00438733 445685.57704726
 444558.37461248 441910.6362841  440999.94962339 438369.19071309
 437231.8133528  436682.57853609 436296.6979017  435767.69781037
 434755.51279523 434570.53378869 432528.91856457 431890.78965618
 429033.29737511 427281.47389418 427158.16365392 424499.52530438
 424423.20432922 424259.44802301 422584.51958592 421802.02634925
 421340.67925066 420073.15987943 419423.83788843 417911.12146862
 417473.45572859 417113.26052479 416527.31617707 416481.54922559
 416191.19014129 415244.03757672 236949.19003096 235316.95078935
 233174.97660705 220702.85549669 217326.02662264 217320.26214162
 215398.07617248 215260.25122555 211501.15044056 211201.29661643
 210725.85330261 208535.95057298 208430.53355942 208258.22022298
 208218.60563534 207625.66913498 206432.31255978 206307.49770621
 205353.93529893 204978.60683333 204740.73660736 203987.35920115
 202924.57416858 201668.62780661 200605.65133371 200443.11271088
 200181.35672    199622.99044731 199486.06752465 199057.1278892
 198793.93217104 197406.47093673 197308.34893664 196894.62082419
 196601.55506047 196474.51504371 196432.34863014 196249.2804317
 195901.55580457 195810.05113391 195459.09997342 195154.47278408
 195082.24365893 195009.21169007 194945.85889881 194578.42630149
 193837.18883591 193411.36654133 193307.49502227 193189.50293596]",0.0,equal,0.7643447720887285,fair-GBG_Fagin,1.0,14.68710732460022,217776,1.0,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.5,0.5,50,50,16695,168432,bean,n/a,n/a
"[3827 3863 3870 3824 3836 3866 3869 3828 3826 3857 3867 3868 3848 3839
 3847 3854 3853 3841 3835 3837 3860 3862 3865 3834 3823 3825 3859 3864
 3855 3833 3844 3830 3851 3843 3846 3832 3845 3861 3850 3821 3858 3852
 3803 3829 3838 3842 3849 3856 3840 3831 5492 5475 5455 5488 5482 5461
 5477 5470 5459 5478 5487 5479 5445 5472 5486 5469 5493 5467 5462 5495
 5473 5474 5476 5465 5444 5480 5466 5468 5483 5498 5464 5500 5494 5496
 5457 5491 5454 5489 5463 5497 5481 5471 5484 5490 5458 5456 5460 5485
 5499 5453]","[417473.45572859 467408.65381888 521625.38132333 416481.54922559
 427281.47389418 481570.8766323  512520.0940615  419423.83788843
 417911.12146862 453801.14435689 489252.49397505 503121.52316528
 440999.94962339 432528.91856457 437231.8133528  451760.24444888
 450123.34100756 434570.53378869 424259.44802301 427158.16365392
 461697.75621774 467586.89134617 476714.91859177 424499.52530438
 417113.26052478 416191.19014129 457514.31374822 474627.93622571
 452382.37729166 422584.51958592 435767.69781037 420073.15987943
 444558.37461248 434755.51279523 436296.6979017  421802.02634925
 438369.19071309 460265.97837379 445685.57704726 416527.31617707
 457276.82309675 448957.00438733 415244.03757672 424423.20432922
 429033.29737511 436682.57853609 441910.6362841  452688.43990023
 431890.78965618 421340.67925066 211501.15044056 200443.11271088
 195009.21169007 207625.66913498 204978.60683333 196249.2804317
 201668.62780661 199057.1278892  194578.42630149 202924.57416858
 208430.53355942 203987.35920115 193411.36654133 199486.06752465
 208258.22022298 197308.34893664 215260.25122555 196474.51504371
 195810.05113391 217320.26214162 199622.99044731 200181.35672
 200605.65133371 196432.34863014 193307.49502227 206307.49770621
 197406.47093673 196894.62082419 205353.93529893 233174.97660705
 195901.55580457 236949.19003096 215398.07617248 217326.02662265
 194945.85889881 211201.29661643 193837.18883591 208218.60563534
 196601.55506047 220702.85549669 204740.73660736 198793.93217104
 208535.95057298 210725.85330261 195459.09997342 195154.47278408
 195082.24365893 206432.31255978 235316.95078935 193189.50293597]",0.1,equal,0.7643447720887285,fair-GBG_ta,1.0,6.218400478363037,60960,0.27992065241348907,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.5,0.5,50,50,640,110087,bean,n/a,n/a
"[3827 3863 3870 3824 3836 3866 3869 3828 3826 3857 3867 3868 3848 3839
 3847 3854 3853 3841 3835 3837 3860 3862 3865 3834 3823 3825 3859 3864
 3855 3833 3844 3830 3851 3843 3846 3832 3845 3861 3850 3821 3858 3852
 3803 3829 3838 3842 3849 3856 3840 3831 5492 5475 5455 5488 5482 5461
 5477 5470 5459 5478 5487 5479 5445 5472 5486 5469 5493 5467 5462 5495
 5473 5474 5476 5465 5444 5480 5466 5468 5483 5498 5464 5500 5494 5496
 5457 5491 5454 5489 5463 5497 5481 5471 5484 5490 5458 5456 5460 5485
 5499 5453]","[417473.45572859 467408.65381888 521625.38132333 416481.54922559
 427281.47389418 481570.8766323  512520.0940615  419423.83788843
 417911.12146862 453801.14435689 489252.49397505 503121.52316528
 440999.94962339 432528.91856457 437231.8133528  451760.24444888
 450123.34100756 434570.53378869 424259.44802301 427158.16365392
 461697.75621774 467586.89134617 476714.91859177 424499.52530438
 417113.26052478 416191.19014129 457514.31374822 474627.93622571
 452382.37729166 422584.51958592 435767.69781037 420073.15987943
 444558.37461248 434755.51279523 436296.6979017  421802.02634925
 438369.19071309 460265.97837379 445685.57704726 416527.31617707
 457276.82309675 448957.00438733 415244.03757672 424423.20432922
 429033.29737511 436682.57853609 441910.6362841  452688.43990023
 431890.78965618 421340.67925066 211501.15044056 200443.11271088
 195009.21169007 207625.66913498 204978.60683333 196249.2804317
 201668.62780661 199057.1278892  194578.42630149 202924.57416858
 208430.53355942 203987.35920115 193411.36654133 199486.06752465
 208258.22022298 197308.34893664 215260.25122555 196474.51504371
 195810.05113391 217320.26214162 199622.99044731 200181.35672
 200605.65133371 196432.34863014 193307.49502227 206307.49770621
 197406.47093673 196894.62082419 205353.93529893 233174.97660705
 195901.55580457 236949.19003096 215398.07617248 217326.02662265
 194945.85889881 211201.29661643 193837.18883591 208218.60563534
 196601.55506047 220702.85549669 204740.73660736 198793.93217104
 208535.95057298 210725.85330261 195459.09997342 195154.47278408
 195082.24365893 206432.31255978 235316.95078935 193189.50293597]",0.05,equal,0.7643447720887285,fair-GBG_ta,1.0,6.224201631546021,60960,0.27992065241348907,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.5,0.5,50,50,640,110087,bean,n/a,n/a
"[3827 3863 3870 3824 3836 3866 3869 3828 3826 3857 3867 3868 3848 3839
 3847 3854 3853 3841 3835 3837 3860 3862 3865 3834 3823 3825 3859 3864
 3855 3833 3844 3830 3851 3843 3846 3832 3845 3861 3850 3821 3858 3852
 3803 3829 3838 3842 3849 3856 3840 3831 5492 5475 5455 5488 5482 5461
 5477 5470 5459 5478 5487 5479 5445 5472 5486 5469 5493 5467 5462 5495
 5473 5474 5476 5465 5444 5480 5466 5468 5483 5498 5464 5500 5494 5496
 5457 5491 5454 5489 5463 5497 5481 5471 5484 5490 5458 5456 5460 5485
 5499 5453]","[417473.45572859 467408.65381888 521625.38132333 416481.54922559
 427281.47389418 481570.8766323  512520.0940615  419423.83788843
 417911.12146862 453801.14435689 489252.49397505 503121.52316528
 440999.94962339 432528.91856457 437231.8133528  451760.24444888
 450123.34100756 434570.53378869 424259.44802301 427158.16365392
 461697.75621774 467586.89134617 476714.91859177 424499.52530438
 417113.26052478 416191.19014129 457514.31374822 474627.93622571
 452382.37729166 422584.51958592 435767.69781037 420073.15987943
 444558.37461248 434755.51279523 436296.6979017  421802.02634925
 438369.19071309 460265.97837379 445685.57704726 416527.31617707
 457276.82309675 448957.00438733 415244.03757672 424423.20432922
 429033.29737511 436682.57853609 441910.6362841  452688.43990023
 431890.78965618 421340.67925066 211501.15044056 200443.11271088
 195009.21169007 207625.66913498 204978.60683333 196249.2804317
 201668.62780661 199057.1278892  194578.42630149 202924.57416858
 208430.53355942 203987.35920115 193411.36654133 199486.06752465
 208258.22022298 197308.34893664 215260.25122555 196474.51504371
 195810.05113391 217320.26214162 199622.99044731 200181.35672
 200605.65133371 196432.34863014 193307.49502227 206307.49770621
 197406.47093673 196894.62082419 205353.93529893 233174.97660705
 195901.55580457 236949.19003096 215398.07617248 217326.02662265
 194945.85889881 211201.29661643 193837.18883591 208218.60563534
 196601.55506047 220702.85549669 204740.73660736 198793.93217104
 208535.95057298 210725.85330261 195459.09997342 195154.47278408
 195082.24365893 206432.31255978 235316.95078935 193189.50293597]",0.0,equal,0.7643447720887285,fair-GBG_ta,1.0,6.222601222991943,60960,0.27992065241348907,BARBUNYA-BOMBAY-DERMASON,CALI-SEKER-SIRA-HOROZ,0.5,0.5,50,50,640,110087,bean,n/a,n/a
