subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name,group_0_avg_exp,group_1_avg_exp
"[ 2404 40916 42252 35060  1190  2562 34166   352  3579 19471 32695 36294
 33778   120 49801 47936 15015 12910 20437 25339 32560  3054  2809 31136
 47605  2805 17337  2817 17811 14526  1483 16497 30345 46976 38611 29309
 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445 20248
 47597 40943 36466  6751 37266 40521 41260  8610 49358 37682  8110 42218
 32381 34323 48459  4394 19120  2844 33113 38090 12501  9335 35304 25609
 29821 33340 49079 43307  4206 16030 24593 46377 16701 16002 12637  7443
 34017 33710  4655 18996 13577 49857  4917 23892 33794 25901 27359 40423
 31664 19148 49618 43043]","[13.36892872 12.64969967 12.29067094 11.52364546 11.46867587 11.41685635
 11.19545533 11.18574655 11.17667833 11.14001071 11.12171403 11.10511898
 10.92537109 10.85378296 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.46820115 10.46175221 10.4401291
 10.42949547 10.33526214 10.33317549 10.33249074 10.31786804 10.27704913
 10.25028751 10.22755709 10.21710856 10.19964265 10.19502239 10.18617701
 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667  9.98134733
  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146  9.92010598
  9.8949143   9.89089183  9.88470695  9.8816837   9.85803052  9.85295836
  9.84747963  9.84391815  9.80542813  9.80228863  9.79220114  9.77952352
  9.73616447  9.72474125  9.71701572  9.69939255  9.64974796  9.63895001
  9.61936508  9.61690849  9.60657948  9.53871753  9.53433683  9.52653918
  9.5025686   9.47634821  9.45111435  9.44297216  9.41873028  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.36769216
  9.31520882  9.2657386   9.26383707  9.21583172  9.21443146  9.19100262
  9.18617661  9.18596629  9.18121335  9.16711438  9.14212824  9.14124508
  9.13643526  9.12894299  9.1251375   9.12216898]",1.0,equal,1.0,fagins,0.26582278481012656,82.38495206832886,499690,0.99938,a,b,0.79,0.21,79,21,26857,231120,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682  2404  1190  2562
   352  3579   120  3054  2809  2805  2817  1483  6751  8610  8110  4394
  2844  9335  4206  7443  4655  4917  8547   489   757  5566  9904  3121
  9378  8320  7034  3034  2935   641  6206  9985  2380  9542  9668   143
  5514  7204  2845   765  9524  6098 42218 32381 34323 48459 19120 33113
 38090 12501 35304 25609]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863 13.36892872 11.46867587 11.41685635
 11.18574655 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214
 10.33249074 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255
  9.63895001  9.53871753  9.41873028  9.36769216  9.26383707  9.18617661
  9.11221358  9.08318384  9.07612911  9.07240582  9.05128738  8.97617582
  8.96506043  8.95496851  8.94243906  8.93749489  8.91561565  8.90781577
  8.76544165  8.76048322  8.70889338  8.64743064  8.64238004  8.63190475
  8.61280193  8.54904179  8.53862858  8.53431677  8.52523741  8.47040152
  9.77952352  9.73616447  9.72474125  9.71701572  9.64974796  9.61936508
  9.61690849  9.60657948  9.53433683  9.52653918]",0.1,equal,0.9886933267483142,fair-fagins,0.8181818181818181,86.1754056930542,499840,0.99968,a,b,0.55,0.45,55,45,29053,209310,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381  2404
  1190  2562   352  3579   120  3054  2809  2805  2817  1483  6751  8610
  8110  4394  2844  9335  4206  7443  4655  4917  8547   489   757  5566
  9904  3121  9378  8320  7034  3034  2935   641  6206  9985  2380  9542
  9668   143  5514  7204  2845   765  9524  6098  6899  4808 34323 48459
 19120 33113 38090 12501]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447 13.36892872
 11.46867587 11.41685635 11.18574655 11.17667833 10.85378296 10.46820115
 10.46175221 10.33526214 10.33249074 10.25028751  9.8816837   9.84391815
  9.79220114  9.69939255  9.63895001  9.53871753  9.41873028  9.36769216
  9.26383707  9.18617661  9.11221358  9.08318384  9.07612911  9.07240582
  9.05128738  8.97617582  8.96506043  8.95496851  8.94243906  8.93749489
  8.91561565  8.90781577  8.76544165  8.76048322  8.70889338  8.64743064
  8.64238004  8.63190475  8.61280193  8.54904179  8.53862858  8.53431677
  8.52523741  8.47040152  8.44686958  8.418511    9.72474125  9.71701572
  9.64974796  9.61936508  9.61690849  9.60657948]",0.05,equal,0.9865070399507869,fair-fagins,0.8867924528301886,86.20061082839966,499850,0.9997,a,b,0.53,0.47,53,47,29177,208080,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120  2404  1190  2562   352  3579   120  3054  2809  2805  2817
  1483  6751  8610  8110  4394  2844  9335  4206  7443  4655  4917  8547
   489   757  5566  9904  3121  9378  8320  7034  3034  2935   641  6206
  9985  2380  9542  9668   143  5514  7204  2845   765  9524  6098  6899
  4808  3069  3036   476]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707  9.18617661  9.11221358
  9.08318384  9.07612911  9.07240582  9.05128738  8.97617582  8.96506043
  8.95496851  8.94243906  8.93749489  8.91561565  8.90781577  8.76544165
  8.76048322  8.70889338  8.64743064  8.64238004  8.63190475  8.61280193
  8.54904179  8.53862858  8.53431677  8.52523741  8.47040152  8.44686958
  8.418511    8.40666374  8.40510914  8.39889875]",0.0,equal,0.9828900930842579,fair-fagins,1.0,85.96635851860046,499860,0.99972,a,b,0.5,0.5,50,50,29319,206670,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120  2404  1190  2562   352  3579   120  3054  2809  2805  2817
  1483  6751  8610  8110  4394  2844  9335  4206  7443  4655  4917  8547
   489   757  5566  9904  3121  9378  8320  7034  3034  2935   641  6206
  9985  2380  9542  9668   143  5514  7204  2845   765  9524  6098  6899
  4808  3069  3036   476]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707  9.18617661  9.11221358
  9.08318384  9.07612911  9.07240582  9.05128738  8.97617582  8.96506043
  8.95496851  8.94243906  8.93749489  8.91561565  8.90781577  8.76544165
  8.76048322  8.70889338  8.64743064  8.64238004  8.63190475  8.61280193
  8.54904179  8.53862858  8.53431677  8.52523741  8.47040152  8.44686958
  8.418511    8.40666374  8.40510914  8.39889875]",0.1,equal,0.9828900930842579,fair-GBG_Fagin,1.0,164.97495017051696,499860,0.99972,a,b,0.5,0.5,50,50,54872,450670,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120  2404  1190  2562   352  3579   120  3054  2809  2805  2817
  1483  6751  8610  8110  4394  2844  9335  4206  7443  4655  4917  8547
   489   757  5566  9904  3121  9378  8320  7034  3034  2935   641  6206
  9985  2380  9542  9668   143  5514  7204  2845   765  9524  6098  6899
  4808  3069  3036   476]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707  9.18617661  9.11221358
  9.08318384  9.07612911  9.07240582  9.05128738  8.97617582  8.96506043
  8.95496851  8.94243906  8.93749489  8.91561565  8.90781577  8.76544165
  8.76048322  8.70889338  8.64743064  8.64238004  8.63190475  8.61280193
  8.54904179  8.53862858  8.53431677  8.52523741  8.47040152  8.44686958
  8.418511    8.40666374  8.40510914  8.39889875]",0.05,equal,0.9828900930842579,fair-GBG_Fagin,1.0,164.7358962059021,499860,0.99972,a,b,0.5,0.5,50,50,54872,450670,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120  2404  1190  2562   352  3579   120  3054  2809  2805  2817
  1483  6751  8610  8110  4394  2844  9335  4206  7443  4655  4917  8547
   489   757  5566  9904  3121  9378  8320  7034  3034  2935   641  6206
  9985  2380  9542  9668   143  5514  7204  2845   765  9524  6098  6899
  4808  3069  3036   476]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707  9.18617661  9.11221358
  9.08318384  9.07612911  9.07240582  9.05128738  8.97617582  8.96506043
  8.95496851  8.94243906  8.93749489  8.91561565  8.90781577  8.76544165
  8.76048322  8.70889338  8.64743064  8.64238004  8.63190475  8.61280193
  8.54904179  8.53862858  8.53431677  8.52523741  8.47040152  8.44686958
  8.418511    8.40666374  8.40510914  8.39889875]",0.0,equal,0.9828900930842579,fair-GBG_Fagin,1.0,165.14358825683593,499860,0.99972,a,b,0.5,0.5,50,50,54872,450670,gauss,n/a,n/a
"[14526 20240 21542 30345 42218 38611 42252 36294 30508 36466 48459 29309
 34814 40943 16497 13275 31136 46976 47936 32560 40521 47605 31636 20892
 19471 34323 19120 37682 34843 25339 15015 47445 17811 15790 32381 12910
 34166 49801 40916 37266 45845 20437 17337 35060 49358 41260 32695 20248
 33778 47597  7034   352  8547  3121  4394  9335  9904  9985  2380  2809
  9524  6206  9668   757  2817   143   641  9378  4808   765  5566  7443
  8110  2935  3579  2562  2844  6098  9542  2404  6751  7204  2845  4917
  4206  3054   120  3036  1483   476  2805  6899  8320  1190  4655  5514
  8610   489  3069  3034]","[10.27704913  9.94784867  9.94697788 10.21710856  9.77952352 10.19502239
 12.29067094 11.10511898  9.99545667  9.88470695  9.71701572 10.18617701
  9.98134733  9.89089183 10.22755709  9.97451593 10.4401291  10.19964265
 10.72839422 10.47009255  9.85295836 10.42949547 10.10762949 10.08060847
 11.14001071  9.72474125  9.64974796  9.80228863  9.93269957 10.48208303
 10.69888577  9.92615146 10.31786804 10.10983039  9.73616447 10.63303959
 11.19545533 10.81373935 12.64969967  9.85803052 10.08311203 10.57093435
 10.33317549 11.52364546  9.80542813  9.84747963 11.12171403  9.92010598
 10.92537109  9.8949143   8.94243906 11.18574655  9.11221358  8.97617582
  9.69939255  9.53871753  9.05128738  8.76048322  8.70889338 10.46175221
  8.52523741  8.76544165  8.64238004  9.07612911 10.33249074  8.63190475
  8.90781577  8.96506043  8.418511    8.53431677  9.07240582  9.36769216
  9.79220114  8.91561565 11.17667833 11.41685635  9.63895001  8.47040152
  8.64743064 13.36892872  9.8816837   8.54904179  8.53862858  9.18617661
  9.41873028 10.46820115 10.85378296  8.40510914 10.25028751  8.39889875
 10.33526214  8.44686958  8.95496851 11.46867587  9.26383707  8.61280193
  9.84391815  9.08318384  8.40666374  8.93749489]",0.1,equal,0.9828900930842579,fair-GBG_ta,1.0,316.7567310333252,447690,0.89538,a,b,0.5,0.5,50,50,18482,1507926,gauss,n/a,n/a
"[14526 20240 21542 30345 42218 38611 42252 36294 30508 36466 48459 29309
 34814 40943 16497 13275 31136 46976 47936 32560 40521 47605 31636 20892
 19471 34323 19120 37682 34843 25339 15015 47445 17811 15790 32381 12910
 34166 49801 40916 37266 45845 20437 17337 35060 49358 41260 32695 20248
 33778 47597  7034   352  8547  3121  4394  9335  9904  9985  2380  2809
  9524  6206  9668   757  2817   143   641  9378  4808   765  5566  7443
  8110  2935  3579  2562  2844  6098  9542  2404  6751  7204  2845  4917
  4206  3054   120  3036  1483   476  2805  6899  8320  1190  4655  5514
  8610   489  3069  3034]","[10.27704913  9.94784867  9.94697788 10.21710856  9.77952352 10.19502239
 12.29067094 11.10511898  9.99545667  9.88470695  9.71701572 10.18617701
  9.98134733  9.89089183 10.22755709  9.97451593 10.4401291  10.19964265
 10.72839422 10.47009255  9.85295836 10.42949547 10.10762949 10.08060847
 11.14001071  9.72474125  9.64974796  9.80228863  9.93269957 10.48208303
 10.69888577  9.92615146 10.31786804 10.10983039  9.73616447 10.63303959
 11.19545533 10.81373935 12.64969967  9.85803052 10.08311203 10.57093435
 10.33317549 11.52364546  9.80542813  9.84747963 11.12171403  9.92010598
 10.92537109  9.8949143   8.94243906 11.18574655  9.11221358  8.97617582
  9.69939255  9.53871753  9.05128738  8.76048322  8.70889338 10.46175221
  8.52523741  8.76544165  8.64238004  9.07612911 10.33249074  8.63190475
  8.90781577  8.96506043  8.418511    8.53431677  9.07240582  9.36769216
  9.79220114  8.91561565 11.17667833 11.41685635  9.63895001  8.47040152
  8.64743064 13.36892872  9.8816837   8.54904179  8.53862858  9.18617661
  9.41873028 10.46820115 10.85378296  8.40510914 10.25028751  8.39889875
 10.33526214  8.44686958  8.95496851 11.46867587  9.26383707  8.61280193
  9.84391815  9.08318384  8.40666374  8.93749489]",0.05,equal,0.9828900930842579,fair-GBG_ta,1.0,316.0231641292572,447690,0.89538,a,b,0.5,0.5,50,50,18482,1507926,gauss,n/a,n/a
"[14526 20240 21542 30345 42218 38611 42252 36294 30508 36466 48459 29309
 34814 40943 16497 13275 31136 46976 47936 32560 40521 47605 31636 20892
 19471 34323 19120 37682 34843 25339 15015 47445 17811 15790 32381 12910
 34166 49801 40916 37266 45845 20437 17337 35060 49358 41260 32695 20248
 33778 47597  7034   352  8547  3121  4394  9335  9904  9985  2380  2809
  9524  6206  9668   757  2817   143   641  9378  4808   765  5566  7443
  8110  2935  3579  2562  2844  6098  9542  2404  6751  7204  2845  4917
  4206  3054   120  3036  1483   476  2805  6899  8320  1190  4655  5514
  8610   489  3069  3034]","[10.27704913  9.94784867  9.94697788 10.21710856  9.77952352 10.19502239
 12.29067094 11.10511898  9.99545667  9.88470695  9.71701572 10.18617701
  9.98134733  9.89089183 10.22755709  9.97451593 10.4401291  10.19964265
 10.72839422 10.47009255  9.85295836 10.42949547 10.10762949 10.08060847
 11.14001071  9.72474125  9.64974796  9.80228863  9.93269957 10.48208303
 10.69888577  9.92615146 10.31786804 10.10983039  9.73616447 10.63303959
 11.19545533 10.81373935 12.64969967  9.85803052 10.08311203 10.57093435
 10.33317549 11.52364546  9.80542813  9.84747963 11.12171403  9.92010598
 10.92537109  9.8949143   8.94243906 11.18574655  9.11221358  8.97617582
  9.69939255  9.53871753  9.05128738  8.76048322  8.70889338 10.46175221
  8.52523741  8.76544165  8.64238004  9.07612911 10.33249074  8.63190475
  8.90781577  8.96506043  8.418511    8.53431677  9.07240582  9.36769216
  9.79220114  8.91561565 11.17667833 11.41685635  9.63895001  8.47040152
  8.64743064 13.36892872  9.8816837   8.54904179  8.53862858  9.18617661
  9.41873028 10.46820115 10.85378296  8.40510914 10.25028751  8.39889875
 10.33526214  8.44686958  8.95496851 11.46867587  9.26383707  8.61280193
  9.84391815  9.08318384  8.40666374  8.93749489]",0.0,equal,0.9828900930842579,fair-GBG_ta,1.0,315.8709295272827,447690,0.89538,a,b,0.5,0.5,50,50,18482,1507926,gauss,n/a,n/a
