ID,isMale,isMarried,AgeGroup,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HasHistoryOfOverduePayments,Class
0,0,1,1,3,120,20,0,6,0,120,0,1,4,1,0
1,0,0,2,3,110,60,0,6,0,80,0,2,4,1,0
2,0,0,2,3,890,150,0,5,0,890,50,0,0,0,1
3,0,1,2,3,1510,60,0,0,3,1430,60,0,0,0,1
4,1,1,3,3,1090,1120,1,2,0,260,60,0,0,0,1
5,1,0,2,4,1970,80,0,0,3,1970,80,0,0,0,1
6,1,0,2,4,16570,1680,0,0,5,11240,1680,0,0,0,1
7,0,0,1,3,360,50,4,6,0,360,10,0,0,0,1
8,0,1,2,2,430,100,0,6,0,340,100,1,2,1,1
9,1,0,2,2,420,400,1,4,0,0,0,0,0,0,1
10,0,0,2,2,340,110,1,6,0,340,70,1,2,1,1
11,0,0,3,4,680,680,2,6,0,370,670,1,2,1,1
12,0,0,3,3,370,200,0,6,0,370,30,0,0,0,1
13,1,0,2,3,2060,100,0,0,4,2010,100,2,7,1,0
14,1,0,2,4,2160,90,0,0,0,2160,90,0,0,0,1
15,1,0,1,4,580,100,0,0,5,470,100,1,8,1,0
16,1,1,3,4,7730,5970,1,1,0,7730,320,0,0,0,1
17,0,1,3,4,0,0,0,6,0,0,0,1,1,1,1
18,0,0,2,4,0,0,0,6,0,0,0,1,1,1,1
19,0,0,2,2,1170,1030,1,4,0,1170,90,0,0,0,1
20,0,1,2,3,20,20,1,6,0,10,10,0,0,0,0
21,0,0,2,3,1430,110,0,0,0,1250,60,2,8,1,0
22,0,1,3,4,590,590,2,6,0,170,590,0,0,0,0
23,1,0,1,4,250,180,2,6,0,140,180,0,0,0,1
24,1,0,1,2,1450,60,0,0,2,1450,60,0,0,0,1
25,1,0,2,4,10,30,3,6,0,0,0,1,1,1,0
26,0,0,2,2,690,50,0,0,0,690,40,0,0,0,1
27,0,1,3,2,930,930,2,5,0,20,100,0,0,0,1
28,1,0,2,4,560,50,0,0,0,470,50,0,0,0,1
29,0,0,2,4,1130,1140,3,6,0,510,530,0,0,0,1
30,1,0,2,3,930,50,0,0,0,930,50,1,2,1,0
