subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name
"[ 2404 40916 42252 35060  1190  2562 34166   352  3579 19471 32695 36294
 33778   120 49801 47936 15015 12910 20437 25339 32560  3054  2809 31136
 47605  2805 17337  2817 17811 14526  1483 16497 30345 46976 38611 29309
 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445 20248
 47597 40943 36466  6751 37266 40521 41260  8610 49358 37682  8110 42218
 32381 34323 48459  4394 19120  2844 33113 38090 12501  9335 35304 25609
 29821 33340 49079 43307  4206 16030 24593 46377 16701 16002 12637  7443
 34017 33710  4655 18996 13577 49857  4917 23892 33794 25901 27359 40423
 31664 19148 49618 43043]","[13.36892872 12.64969967 12.29067094 11.52364546 11.46867587 11.41685635
 11.19545533 11.18574655 11.17667833 11.14001071 11.12171403 11.10511898
 10.92537109 10.85378296 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.46820115 10.46175221 10.4401291
 10.42949547 10.33526214 10.33317549 10.33249074 10.31786804 10.27704913
 10.25028751 10.22755709 10.21710856 10.19964265 10.19502239 10.18617701
 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667  9.98134733
  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146  9.92010598
  9.8949143   9.89089183  9.88470695  9.8816837   9.85803052  9.85295836
  9.84747963  9.84391815  9.80542813  9.80228863  9.79220114  9.77952352
  9.73616447  9.72474125  9.71701572  9.69939255  9.64974796  9.63895001
  9.61936508  9.61690849  9.60657948  9.53871753  9.53433683  9.52653918
  9.5025686   9.47634821  9.45111435  9.44297216  9.41873028  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.36769216
  9.31520882  9.2657386   9.26383707  9.21583172  9.21443146  9.19100262
  9.18617661  9.18596629  9.18121335  9.16711438  9.14212824  9.14124508
  9.13643526  9.12894299  9.1251375   9.12216898]",1.0,proportional,1.0,fagins,0.9404761904761906,86.10314707756042,499690,0.99938,a,b,0.001975,0.0021,79,21,26857,231120,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
  2404  1190  2562   352  3579   120  3054  2809  2805  2817  1483  6751
  8610  8110  4394  2844  9335  4206  7443  4655  4917 25901 27359 40423
 31664 19148 49618 43043]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
 13.36892872 11.46867587 11.41685635 11.18574655 11.17667833 10.85378296
 10.46820115 10.46175221 10.33526214 10.33249074 10.25028751  9.8816837
  9.84391815  9.79220114  9.69939255  9.63895001  9.53871753  9.41873028
  9.36769216  9.26383707  9.18617661  9.16711438  9.14212824  9.14124508
  9.13643526  9.12894299  9.1251375   9.12216898]",0.1,proportional,1.0,fair-fagins,0.9404761904761906,81.6699300289154,499690,0.99938,a,b,0.001975,0.0021,79,21,26857,231120,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
 25901 27359 40423 31664  2404  1190  2562   352  3579   120  3054  2809
  2805  2817  1483  6751  8610  8110  4394  2844  9335  4206  7443  4655
  4917 19148 49618 43043]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
  9.16711438  9.14212824  9.14124508  9.13643526 13.36892872 11.46867587
 11.41685635 11.18574655 11.17667833 10.85378296 10.46820115 10.46175221
 10.33526214 10.33249074 10.25028751  9.8816837   9.84391815  9.79220114
  9.69939255  9.63895001  9.53871753  9.41873028  9.36769216  9.26383707
  9.18617661  9.12894299  9.1251375   9.12216898]",0.05,proportional,1.0000000000000002,fair-fagins,0.9404761904761906,80.59300122261047,499690,0.99938,a,b,0.001975,0.0021,79,21,26857,231120,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
 25901 27359 40423 31664 19148 49618 43043 32659  2404  1190  2562   352
  3579   120  3054  2809  2805  2817  1483  6751  8610  8110  4394  2844
  9335  4206  7443  4655]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
  9.16711438  9.14212824  9.14124508  9.13643526  9.12894299  9.1251375
  9.12216898  9.12143063 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707]",0.0,proportional,0.9999355255895706,fair-fagins,1.0,80.36339511871338,499690,0.99938,a,b,0.002,0.002,80,20,26857,231120,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
 25901 27359 40423 31664 19148  2404  1190  2562   352  3579   120  3054
  2809  2805  2817  1483  6751  8610  8110  4394  2844  9335  4206  7443
  4655  4917  8547   489]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
  9.16711438  9.14212824  9.14124508  9.13643526  9.12894299 13.36892872
 11.46867587 11.41685635 11.18574655 11.17667833 10.85378296 10.46820115
 10.46175221 10.33526214 10.33249074 10.25028751  9.8816837   9.84391815
  9.79220114  9.69939255  9.63895001  9.53871753  9.41873028  9.36769216
  9.26383707  9.18617661  9.11221358  9.08318384]",0.1,proportional,0.9999483086658097,fair-GBGfagins,0.8369565217391305,161.06135659217836,499750,0.9995,a,b,0.001925,0.0023,77,23,53881,460630,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
 25901 27359 40423 31664 19148 49618 43043  2404  1190  2562   352  3579
   120  3054  2809  2805  2817  1483  6751  8610  8110  4394  2844  9335
  4206  7443  4655  4917]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
  9.16711438  9.14212824  9.14124508  9.13643526  9.12894299  9.1251375
  9.12216898 13.36892872 11.46867587 11.41685635 11.18574655 11.17667833
 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074 10.25028751
  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001  9.53871753
  9.41873028  9.36769216  9.26383707  9.18617661]",0.05,proportional,1.0000000000000002,fair-GBGfagins,0.9404761904761906,161.34749636650085,499750,0.9995,a,b,0.001975,0.0021,79,21,53849,460950,gauss
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120 33113 38090 12501 35304 25609 29821 33340 49079 43307 16030
 24593 46377 16701 16002 12637 34017 33710 18996 13577 49857 23892 33794
 25901 27359 40423 31664 19148 49618 43043 32659  2404  1190  2562   352
  3579   120  3054  2809  2805  2817  1483  6751  8610  8110  4394  2844
  9335  4206  7443  4655]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796  9.61936508  9.61690849  9.60657948  9.53433683
  9.52653918  9.5025686   9.47634821  9.45111435  9.44297216  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.31520882
  9.2657386   9.21583172  9.21443146  9.19100262  9.18596629  9.18121335
  9.16711438  9.14212824  9.14124508  9.13643526  9.12894299  9.1251375
  9.12216898  9.12143063 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707]",0.0,proportional,0.9999355255895706,fair-GBGfagins,1.0,165.34207582473755,499690,0.99938,a,b,0.002,0.002,80,20,53707,462310,gauss
"[35304 16030 15015 40423 43307 38611 33794 47936 23892 42218 19148 25609
 47597 30345 36466 40916 49801 45845 21542 31136 18996 47605 47445 38090
 42252 34166 20240 33113 16701 34323 48459 27359 29821 24593 37682 35060
 49857 33340 17811 46377 25339 32381 33710 16002 49079 12637 36294 13275
 17337 31636 40943 20437 41260 19120 34843 15790 32695 13577 14526 33778
 49358 20892 12501 34017 31664 12910 46976 20248 37266 40521 32560 25901
 29309 16497 19471 30508 34814  2817  6751  3579  8610  4655  9335  2562
   352  2805  2809  1190  2404  3054  8110  7443  4917   120  2844   489
  4394  4206  8547  1483]","[ 9.53433683  9.41589453 10.69888577  9.14124508  9.44297216 10.19502239
  9.18121335 10.72839422  9.18596629  9.77952352  9.12894299  9.52653918
  9.8949143  10.21710856  9.88470695 12.64969967 10.81373935 10.08311203
  9.94697788 10.4401291   9.21583172 10.42949547  9.92615146  9.61690849
 12.29067094 11.19545533  9.94784867  9.61936508  9.38138787  9.72474125
  9.71701572  9.14212824  9.5025686   9.39275361  9.80228863 11.52364546
  9.19100262  9.47634821 10.31786804  9.38902552 10.48208303  9.73616447
  9.2657386   9.38015406  9.45111435  9.37126426 11.10511898  9.97451593
 10.33317549 10.10762949  9.89089183 10.57093435  9.84747963  9.64974796
  9.93269957 10.10983039 11.12171403  9.21443146 10.27704913 10.92537109
  9.80542813 10.08060847  9.60657948  9.31520882  9.13643526 10.63303959
 10.19964265  9.92010598  9.85803052  9.85295836 10.47009255  9.16711438
 10.18617701 10.22755709 11.14001071  9.99545667  9.98134733 10.33249074
  9.8816837  11.17667833  9.84391815  9.26383707  9.53871753 11.41685635
 11.18574655 10.33526214 10.46175221 11.46867587 13.36892872 10.46820115
  9.79220114  9.36769216  9.18617661 10.85378296  9.63895001  9.08318384
  9.69939255  9.41873028  9.11221358 10.25028751]",0.1,proportional,0.9999483086658096,fair-GBGta,0.8369565217391305,313.26793255805967,433870,0.86774,a,b,0.001925,0.0023,77,23,18213,1489281,gauss
"[40943 43307 15015 12910 31136 38611 21542 37266 30508 46377 20437 20240
 49079 16002 43043 41260 49801 49618 19471 31664 12637 33113 23892 35060
 40423 25609 13275 31636 12501 34166 47605 14526 19148 32695 34843 34017
 30345 40916 33794 15790 25339 16030 33710 36294 32560 29821 27359 49857
 34323 32381 33778 36466 13577 47445 38090 49358 17811 42252 17337 20892
 24593 47597 29309 37682 35304 18996 20248 34814 19120 47936 40521 45845
 25901 16497 33340 16701 42218 48459 46976  2844  8610  2805  2809  4655
  4917  7443  8110  3054  6751  4394  1483  1190  9335  3579  2562  2817
  4206  2404   120   352]","[ 9.89089183  9.44297216 10.69888577 10.63303959 10.4401291  10.19502239
  9.94697788  9.85803052  9.99545667  9.38902552 10.57093435  9.94784867
  9.45111435  9.38015406  9.12216898  9.84747963 10.81373935  9.1251375
 11.14001071  9.13643526  9.37126426  9.61936508  9.18596629 11.52364546
  9.14124508  9.52653918  9.97451593 10.10762949  9.60657948 11.19545533
 10.42949547 10.27704913  9.12894299 11.12171403  9.93269957  9.31520882
 10.21710856 12.64969967  9.18121335 10.10983039 10.48208303  9.41589453
  9.2657386  11.10511898 10.47009255  9.5025686   9.14212824  9.19100262
  9.72474125  9.73616447 10.92537109  9.88470695  9.21443146  9.92615146
  9.61690849  9.80542813 10.31786804 12.29067094 10.33317549 10.08060847
  9.39275361  9.8949143  10.18617701  9.80228863  9.53433683  9.21583172
  9.92010598  9.98134733  9.64974796 10.72839422  9.85295836 10.08311203
  9.16711438 10.22755709  9.47634821  9.38138787  9.77952352  9.71701572
 10.19964265  9.63895001  9.84391815 10.33526214 10.46175221  9.26383707
  9.18617661  9.36769216  9.79220114 10.46820115  9.8816837   9.69939255
 10.25028751 11.46867587  9.53871753 11.17667833 11.41685635 10.33249074
  9.41873028 13.36892872 10.85378296 11.18574655]",0.05,proportional,1.0000000000000002,fair-GBGta,0.9404761904761906,311.03758363723756,433020,0.86604,a,b,0.001975,0.0021,79,21,18090,1480243,gauss
"[31636 16030 34017 20437 20240 38611 12910 16701 17337 33710 29309 40943
 19471 13275 34166 35060 47605 31664 19120 46377 49358 32381 16497 40423
 32695 25339 41260 16002 37682 12637 31136 20892 43043 15015 18996 40916
 21542 42218 33794 33113 25609 34814 17811 47597 49618 40521 36466 49079
 33778 30508 47445 13577 29821 12501 32659 15790 19148 34843 35304 49857
 14526 20248 42252 34323 23892 37266 27359 33340 47936 36294 45845 48459
 38090 25901 30345 32560 49801 24593 46976 43307  4655  2817  7443   120
  8610   352  2404  2805  1483  4394  2809  4206  8110  2844  3054  1190
  9335  2562  6751  3579]","[10.10762949  9.41589453  9.31520882 10.57093435  9.94784867 10.19502239
 10.63303959  9.38138787 10.33317549  9.2657386  10.18617701  9.89089183
 11.14001071  9.97451593 11.19545533 11.52364546 10.42949547  9.13643526
  9.64974796  9.38902552  9.80542813  9.73616447 10.22755709  9.14124508
 11.12171403 10.48208303  9.84747963  9.38015406  9.80228863  9.37126426
 10.4401291  10.08060847  9.12216898 10.69888577  9.21583172 12.64969967
  9.94697788  9.77952352  9.18121335  9.61936508  9.52653918  9.98134733
 10.31786804  9.8949143   9.1251375   9.85295836  9.88470695  9.45111435
 10.92537109  9.99545667  9.92615146  9.21443146  9.5025686   9.60657948
  9.12143063 10.10983039  9.12894299  9.93269957  9.53433683  9.19100262
 10.27704913  9.92010598 12.29067094  9.72474125  9.18596629  9.85803052
  9.14212824  9.47634821 10.72839422 11.10511898 10.08311203  9.71701572
  9.61690849  9.16711438 10.21710856 10.47009255 10.81373935  9.39275361
 10.19964265  9.44297216  9.26383707 10.33249074  9.36769216 10.85378296
  9.84391815 11.18574655 13.36892872 10.33526214 10.25028751  9.69939255
 10.46175221  9.41873028  9.79220114  9.63895001 10.46820115 11.46867587
  9.53871753 11.41685635  9.8816837  11.17667833]",0.0,proportional,0.9999355255895704,fair-GBGta,1.0,309.5554376602173,433020,0.86604,a,b,0.002,0.002,80,20,17991,1472997,gauss
