subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name,group_0_avg_exp,group_1_avg_exp
"[ 5214  2161 27654 25405  6805 14351 11402 29444 22552  6668 27095 27210
 28264  5829 26214 10811 20617 29586 13772 27153 12163 28269 27791 25897
 23074  2213 19773 23452 18709 19484 10632 22085 14312 13579  8101  8371
  1479 28675 22736 24681 21098 27173  2646 10620 23807 25490 16007 12575
 19459 24826  1360 24370 12918 27122 26257  1236  5599 22418 19041 23584
 13006 14599  4262 14362 11695 11353 19958 20771  3560 22470 28358  3539
 17418 25756  8044 29231  5406 26923  2861 16683 26415 12466    39   355
 20960 14000 25914  1958 10927 28051 10747  5205  5250  4960  4203  7481
   400  3369 27225 29461 17523     6 10344  8748 13724 19222  2175  2138
  1332 26535 16684 23180 25352  5363 26696 12651 15167 29507  9063 24043
 11707 10846   897    99 18033 26801 11152 12687 11693  8632 22403 29491
  6758 11343 29545 27996 21092 25541 28645 17141 10285 15377 22796 23950
 13592   444 11663 19654  8551 13416]","[102377.  88406.  71795.  58867.  51183.  51116.  50857.  50088.  48366.
  48344.  47450.  46864.  44906.  44326.  43324.  43073.  43028.  41816.
  41724.  41678.  40763.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38106.  38022.  37641.  37586.  37566.  37471.
  37274.  37046.  36568.  36457.  36374.  36216.  36054.  35960.  35763.
  35716.  35403.  35102.  34743.  34714.  34625.  34615.  34573.  34487.
  34095.  34074.  33915.  33595.  33366.  33212.  33188.  33146.  33093.
  32976.  32970.  32938.  32930.  32904.  32681.  32585.  32578.  32506.
  32475.  32459.  32448.  32428.  32386.  32382.  32249.  32214.  32186.
  32023.  31961.  31957.  31955.  31876.  31812.  31787.  31750.  31726.
  31670.  31662.  31626.  31603.  31566.  31536.  31448.  31406.  31396.
  31296.  31234.  31175.  31155.  31100.  31063.  31011.  30946.  30901.
  30881.  30813.  30744.  30613.  30366.  30346.  30344.  30284.  30156.
  30156.  30148.  30084.  30082.  30064.  30006.  29962.  29946.  29946.
  29938.  29914.  29850.  29835.  29832.  29825.  29824.  29736.  29726.
  29700.  29620.  29611.  29588.  29550.  29532.  29508.  29420.  29302.
  29270.  29246.  29223.  29096.  28996.  28930.]",1,proportional,1.0,fagins,0.5594684729472201,26.03864712715149,295130,0.9962866691422205,male,female,0.0038590604026845637,0.006897726305032785,69,81,15510,140030,credit,n/a,n/a
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793 14079  3292 19753 15141 22282  6805 14351 29444 27095 27210
 20617 29586 27153 12163 10632 13579  8101  1479 24681 21098 27173 10620
 23807 12575 24826  1360 24370 12918 27122 26257  1236 23584  4262 14362
 11695 20771  3560  8044 29231  5406 26923  2861 16683 26415 12466    39
 20960  1958 10927  4960  4203   400 27225 29461     6 10344  2175  1332
 26535 16684  5363 26696 12651 29507]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  27695.  27645.  27621.  27511.
  27494.  51183.  51116.  50088.  47450.  46864.  43028.  41816.  41678.
  40763.  38106.  37586.  37566.  37274.  36457.  36374.  36216.  35960.
  35763.  35102.  34714.  34625.  34615.  34573.  34487.  34095.  34074.
  33212.  33093.  32976.  32970.  32904.  32681.  32448.  32428.  32386.
  32382.  32249.  32214.  32186.  32023.  31961.  31955.  31787.  31750.
  31603.  31566.  31448.  31396.  31296.  31175.  31155.  30946.  30881.
  30813.  30744.  30346.  30344.  30284.  30156.]",0,proportional,0.9939485217909666,fair-fagins,0.9871861936921973,25.678166151046753,295180,0.9964554569084833,male,female,0.005089485458612975,0.00502426977773993,91,59,15709,138090,credit,n/a,n/a
"[ 2161  5214 25914 14362 12163 27173 19222 11663  8632 21098  7481 18033
 17141 22796 27210 27654 18709  1958 11707 11695  2175 25405 19654 26214
 29444  6805 26923  8371 13579 10747 20617 15167 16683 12918  6758  2646
 27225  8748 10344 14312 26801  1332 27791 11402 23074 16007 26535  4203
  1236  1360 19484 24370 29586 14000 29231 28358  2213  9063 19958 23950
 25352 27153  1479  5599 10620 22470     6 29545 15377 14351 22403   355
 13592  6668 11353  5250  5363 25897   897 27095 19041 28645 19773 10632
 23584  4262 21092 26257 12651 29491 26696 13416 16684 24043 12466 22085
 29461 25541 28264    39 20771 13724  8551 10846  2861 17523 29507 23452
 28269  3560  5829 10285 10927 25490 28051 17418 12575 24681 26415 22736
 11693 27122 22418 14599  3369 28675  5205 20960  8101 12687 25756 11343
 23807  3539 24826 10811 27996  2138   444 22552 23180  5406 11152   400
 13772 19459 13006  4960  8044    99]","[ 88406. 102377.  31812.  32976.  40763.  36216.  31011.  29223.  29835.
  36374.  31536.  29946.  29550.  29420.  46864.  71795.  38836.  31787.
  30082.  32970.  30946.  58867.  29096.  43324.  50088.  51183.  32382.
  37471.  37586.  31670.  43028.  30156.  32214.  34573.  29824.  36054.
  31396.  31100.  31155.  37641.  29946.  30881.  39526.  50857.  39270.
  35403.  30813.  31566.  34074.  34625.  38656.  34615.  41816.  31876.
  32428.  32578.  39245.  30148.  32930.  29302.  30366.  41678.  37274.
  33915.  35960.  32585.  31175.  29726.  29508.  51116.  29832.  31957.
  29270.  48344.  32938.  31626.  30346.  39524.  30006.  47450.  33366.
  29588.  39164.  38106.  33212.  33093.  29620.  34095.  30284.  29825.
  30344.  28930.  30744.  30084.  32023.  38022.  31296.  29611.  44906.
  31961.  32904.  31063.  28996.  30064.  32249.  31234.  30156.  38881.
  40236.  32681.  44326.  29532.  31750.  35716.  31726.  32475.  35102.
  36457.  32186.  36568.  29850.  34487.  33595.  33146.  31406.  37046.
  31662.  31955.  37566.  29914.  32459.  29736.  35763.  32506.  34714.
  43073.  29700.  30901.  29246.  48366.  30613.  32386.  29938.  31448.
  41724.  34743.  33188.  31603.  32448.  29962.]",1,proportional,1.0,ta,0.5594684729472201,3.6686236381530763,26860,0.09067278803632313,male,female,0.0038590604026845637,0.006897726305032785,69,81,320,28150,credit,n/a,n/a
"[ 2161  5214 19958 28645  3539 27654 19654  5250  1793 25405 14000 26214
  6233  8371  2213 10747 25352  2646 22085 14312 27791 11402 25490 14599
 28051 14297 19484  8632 27996  3369  5599 22418 13772   355 22796 19222
  6668 14079 22736 25897  2138 25756 11353  4000 22403 12700  1901  7481
 25541 28264 15829 16007 10848 17523 15141 23452 28269 14103  5829 19041
 10846 17418  5537 25914 15167 17141 23531 13724 28675  3292 19459 28358
 10811 19598 18709 23145 22552 15011 23074 13006  5205 19773 21902 23180
 19753  8748 22470 12687 22282 21184 10349  4203 24826 12163 13579  1360
 26696  8101 14362 10927 27210  1958 23807 29444  6805 20617 27173 11695
 26535  1236 16684 21098 24681 29231 10620 24370 29586 26923 27225 12575
  5406  4262 27153  1479  3560 12651 14351 29461 12466   400 27095 27122
 23584 10632 20771 26257  2175  5363 10344 16683    39  2861 26415     6
  4960 29507  8044 12918  1332 20960]","[ 88406. 102377.  32930.  29588.  32506.  71795.  29096.  31626.  27706.
  58867.  31876.  43324.  28541.  37471.  39245.  31670.  30366.  36054.
  38022.  37641.  39526.  50857.  35716.  33146.  31726.  28807.  38656.
  29835.  29700.  31406.  33915.  33595.  41724.  31957.  29420.  31011.
  48344.  27695.  36568.  39524.  30901.  32459.  32938.  28890.  29832.
  28920.  28676.  31536.  29611.  44906.  28646.  35403.  28256.  31234.
  27511.  38881.  40236.  28550.  44326.  33366.  30064.  32475.  27861.
  31812.  30156.  29550.  28671.  31063.  37046.  27645.  34743.  32578.
  43073.  27946.  38836.  27963.  48366.  28406.  39270.  33188.  31662.
  39164.  28305.  30613.  27621.  31100.  32585.  29914.  27494.  27764.
  28666.  31566.  34714.  40763.  37586.  34625.  30344.  37566.  32976.
  31750.  46864.  31787.  35763.  50088.  51183.  43028.  36216.  32970.
  30813.  34074.  30744.  36374.  36457.  32428.  35960.  34615.  41816.
  32382.  31396.  35102.  32386.  33093.  41678.  37274.  32681.  30284.
  51116.  31296.  32023.  31448.  47450.  34487.  33212.  38106.  32904.
  34095.  30946.  30346.  31155.  32214.  31961.  32249.  32186.  31175.
  31603.  30156.  32448.  34573.  30881.  31955.]",0,proportional,0.9939485217909666,fair-ta,0.9871861936921973,4.1867400169372555,30730,0.1037369611450562,male,female,0.005089485458612975,0.00502426977773993,91,59,369,32444,credit,n/a,n/a
"[ 2161  5214 25914 14362 12163 27173 19222 11663  8632 21098  7481 18033
 17141 22796 27210 27654 18709  1958 11707 11695  2175 25405 19654 26214
 29444  6805 26923  8371 13579 10747 20617 15167 16683 12918  6758  2646
 27225  8748 10344 14312 26801  1332 27791 11402 23074 16007 26535  4203
  1236  1360 19484 24370 29586 14000 29231 28358  2213  9063 19958 23950
 25352 27153  1479  5599 10620 22470     6 29545 15377 14351 22403   355
 13592  6668 11353  5250  5363 25897   897 27095 19041 28645 19773 10632
 23584  4262 21092 26257 12651 29491 26696 13416 16684 24043 12466 22085
 29461 25541 28264    39 20771 13724  8551 10846  2861 17523 29507 23452
 28269  3560  5829 10285 10927 25490 28051 17418 12575 24681 26415 22736
 11693 27122 22418 14599  3369 28675  5205 20960  8101 12687 25756 11343
 23807  3539 24826 10811 27996  2138   444 22552 23180  5406 11152   400
 13772 19459 13006  4960  8044    99]","[ 88406. 102377.  31812.  32976.  40763.  36216.  31011.  29223.  29835.
  36374.  31536.  29946.  29550.  29420.  46864.  71795.  38836.  31787.
  30082.  32970.  30946.  58867.  29096.  43324.  50088.  51183.  32382.
  37471.  37586.  31670.  43028.  30156.  32214.  34573.  29824.  36054.
  31396.  31100.  31155.  37641.  29946.  30881.  39526.  50857.  39270.
  35403.  30813.  31566.  34074.  34625.  38656.  34615.  41816.  31876.
  32428.  32578.  39245.  30148.  32930.  29302.  30366.  41678.  37274.
  33915.  35960.  32585.  31175.  29726.  29508.  51116.  29832.  31957.
  29270.  48344.  32938.  31626.  30346.  39524.  30006.  47450.  33366.
  29588.  39164.  38106.  33212.  33093.  29620.  34095.  30284.  29825.
  30344.  28930.  30744.  30084.  32023.  38022.  31296.  29611.  44906.
  31961.  32904.  31063.  28996.  30064.  32249.  31234.  30156.  38881.
  40236.  32681.  44326.  29532.  31750.  35716.  31726.  32475.  35102.
  36457.  32186.  36568.  29850.  34487.  33595.  33146.  31406.  37046.
  31662.  31955.  37566.  29914.  32459.  29736.  35763.  32506.  34714.
  43073.  29700.  30901.  29246.  48366.  30613.  32386.  29938.  31448.
  41724.  34743.  33188.  31603.  32448.  29962.]",1,proportional,1.0,bpa,0.5594684729472201,3.5972060203552245,26490,0.08942375856597914,male,female,0.0038590604026845637,0.006897726305032785,69,81,315,27714,credit,n/a,n/a
"[ 2161  5214 19958 28645  3539 27654 19654  5250  1793 25405 14000 26214
  6233  8371  2213 10747 25352  2646 22085 14312 27791 11402 25490 14599
 28051 14297 19484  8632 27996  3369  5599 22418 13772   355 22796 19222
  6668 14079 22736 25897  2138 25756 11353  4000 22403 12700  1901  7481
 25541 28264 15829 16007 10848 17523 15141 23452 28269 14103  5829 19041
 10846 17418  5537 25914 15167 17141 23531 13724 28675  3292 19459 28358
 10811 19598 18709 23145 22552 15011 23074 13006  5205 19773 21902 23180
 19753  8748 22470 12687 22282 21184 10349  4203 24826 12163 13579  1360
 26696  8101 14362 10927 27210  1958 23807 29444  6805 20617 27173 11695
 26535  1236 16684 21098 24681 29231 10620 24370 29586 26923 27225 12575
  5406  4262 27153  1479  3560 12651 14351 29461 12466   400 27095 27122
 23584 10632 20771 26257  2175  5363 10344 16683    39  2861 26415     6
  4960 29507  8044 12918  1332 20960]","[ 88406. 102377.  32930.  29588.  32506.  71795.  29096.  31626.  27706.
  58867.  31876.  43324.  28541.  37471.  39245.  31670.  30366.  36054.
  38022.  37641.  39526.  50857.  35716.  33146.  31726.  28807.  38656.
  29835.  29700.  31406.  33915.  33595.  41724.  31957.  29420.  31011.
  48344.  27695.  36568.  39524.  30901.  32459.  32938.  28890.  29832.
  28920.  28676.  31536.  29611.  44906.  28646.  35403.  28256.  31234.
  27511.  38881.  40236.  28550.  44326.  33366.  30064.  32475.  27861.
  31812.  30156.  29550.  28671.  31063.  37046.  27645.  34743.  32578.
  43073.  27946.  38836.  27963.  48366.  28406.  39270.  33188.  31662.
  39164.  28305.  30613.  27621.  31100.  32585.  29914.  27494.  27764.
  28666.  31566.  34714.  40763.  37586.  34625.  30344.  37566.  32976.
  31750.  46864.  31787.  35763.  50088.  51183.  43028.  36216.  32970.
  30813.  34074.  30744.  36374.  36457.  32428.  35960.  34615.  41816.
  32382.  31396.  35102.  32386.  33093.  41678.  37274.  32681.  30284.
  51116.  31296.  32023.  31448.  47450.  34487.  33212.  38106.  32904.
  34095.  30946.  30346.  31155.  32214.  31961.  32249.  32186.  31175.
  31603.  30156.  32448.  34573.  30881.  31955.]",0,proportional,0.9939485217909666,fair-bpa,0.9871861936921973,4.156533336639404,30610,0.10333187050602573,male,female,0.005089485458612975,0.00502426977773993,91,59,367,32272,credit,n/a,n/a
"[ 2161  5214 11707 13592 12163  5205 29231 10344 19654 13416  3539 18033
 27173 25490 25405 27210 27654  2138 27996 14312 26923 11693 20617 15167
  9063 26214 29444  6805  8551  8371  5250 10927 19484  1332 24370 17141
 12918  6758  1479 24681  2646 23584  8044 28358 12687 27122 27791 11402
 14362 12466 11343 10747 11152 23074 22470 26257 29586 24826 29545  4262
 13579 13724 25897  5406 22418 27095 27153    39  3369  5599 19222 20960
 16683 16684 14351 19958 25914 12575  6668 10632  4960 19459 12651 23807
 26801 28269 22085 27225  1360  8101 24043 14599  3560   355 26696 28264
 29491 22403     6 19041 18709  4203  7481 22552 23452 25541  1236  5829
 23950 28645 13006 10846    99 17523 22796 28051 10285 22736  8748 19773
  2213  2861 17418  8632 28675 14000 23180   897 11353 10811 11663   400
 13772 29507 15377  2175 16007 26415 25756 11695  1958 21098 20771  5363
 26535 10620 29461 25352 21092   444]","[ 88406. 102377.  30082.  29270.  40763.  31662.  32428.  31155.  29096.
  28930.  32506.  29946.  36216.  35716.  58867.  46864.  71795.  30901.
  29700.  37641.  32382.  29850.  43028.  30156.  30148.  43324.  50088.
  51183.  28996.  37471.  31626.  31750.  38656.  30881.  34615.  29550.
  34573.  29824.  37274.  36457.  36054.  33212.  32448.  32578.  29914.
  34487.  39526.  50857.  32976.  32023.  29736.  31670.  29938.  39270.
  32585.  34095.  41816.  34714.  29726.  33093.  37586.  31063.  39524.
  32386.  33595.  47450.  41678.  31961.  31406.  33915.  31011.  31955.
  32214.  30744.  51116.  32930.  31812.  35102.  48344.  38106.  31603.
  34743.  30284.  35763.  29946.  40236.  38022.  31396.  34625.  37566.
  30084.  33146.  32681.  31957.  30344.  44906.  29825.  29832.  31175.
  33366.  38836.  31566.  31536.  48366.  38881.  29611.  34074.  44326.
  29302.  29588.  33188.  30064.  29962.  31234.  29420.  31726.  29532.
  36568.  31100.  39164.  39245.  32249.  32475.  29835.  37046.  31876.
  30613.  30006.  32938.  43073.  29223.  31448.  41724.  30156.  29508.
  30946.  35403.  32186.  32459.  32970.  31787.  36374.  32904.  30346.
  30813.  35960.  31296.  30366.  29620.  29246.]",1,proportional,1.0,bpa2,0.5594684729472201,0.9520137310028076,19340,0.06528710799041286,male,female,0.0038590604026845637,0.006897726305032785,69,81,1,19330,credit,n/a,n/a
"[ 2161  5214 27996  8632 10848 25405 27654 19958 14312  6233 11353 23145
 26214 10349  8371 12687 23531 19484  2138 14079  2646 22085 27791 11402
 23074  3539 15829  7481  5205  3369 25897  5599 15141 19041 19598 22418
 13772  6668   355 25914 28269 25756 18709 22796 13724 28264 21184  1793
 15011 25352  1901 22552 23452 25541  5829  5537 23180 13006 16007 17523
 21902 28051 12700 19222 14599 17418 28675  3292 22403 10811 22282 19753
 15167 22736  2213 28358 22470 10747  5250 19773 28645 14103 19459 14297
 19654  4000 17141 14000  8748 25490 10846 29231 29461 12163  5363 12466
  1958     6 20771 24681 27210 20960  1236 20617 29444  6805 24370  4262
 27122  1479  1332 13579 10927  8044  2175 24826 27225 12918 26257 29586
 21098 26923 14362 16683 12651 27095 27153    39 16684  1360 14351 12575
 10632 10620 23807 23584   400  5406  8101 29507 11695  3560 26696  2861
 27173 26535  4960 10344 26415  4203]","[ 88406. 102377.  29700.  29835.  28256.  58867.  71795.  32930.  37641.
  28541.  32938.  27963.  43324.  28666.  37471.  29914.  28671.  38656.
  30901.  27695.  36054.  38022.  39526.  50857.  39270.  32506.  28646.
  31536.  31662.  31406.  39524.  33915.  27511.  33366.  27946.  33595.
  41724.  48344.  31957.  31812.  40236.  32459.  38836.  29420.  31063.
  44906.  27764.  27706.  28406.  30366.  28676.  48366.  38881.  29611.
  44326.  27861.  30613.  33188.  35403.  31234.  28305.  31726.  28920.
  31011.  33146.  32475.  37046.  27645.  29832.  43073.  27494.  27621.
  30156.  36568.  39245.  32578.  32585.  31670.  31626.  39164.  29588.
  28550.  34743.  28807.  29096.  28890.  29550.  31876.  31100.  35716.
  30064.  32428.  31296.  40763.  30346.  32023.  31787.  31175.  32904.
  36457.  46864.  31955.  34074.  43028.  50088.  51183.  34615.  33093.
  34487.  37274.  30881.  37586.  31750.  32448.  30946.  34714.  31396.
  34573.  34095.  41816.  36374.  32382.  32976.  32214.  30284.  47450.
  41678.  31961.  30744.  34625.  51116.  35102.  38106.  35960.  35763.
  33212.  31448.  32386.  37566.  30156.  32970.  32681.  30344.  32249.
  36216.  30813.  31603.  31155.  32186.  31566.]",0,proportional,0.9939485217909666,fair-bpa2,0.9871861936921973,1.0748414039611816,22280,0.07521182864665969,male,female,0.005089485458612975,0.00502426977773993,91,59,1,22270,credit,n/a,n/a
"[ 5214  2161 27654 25405  6805 14351 11402 29444 22552  6668 27095 27210
 28264  5829 26214 10811 20617 29586 13772 27153 12163 28269 27791 25897
 23074  2213 19773 23452 18709 19484 10632 22085 14312 13579  8101  8371
  1479 28675 22736 24681 21098 27173  2646 10620 23807 25490 16007 12575
 19459 24826  1360 24370 12918 27122 26257  1236  5599 22418 19041 23584
 13006 14599  4262 14362 11695 11353 19958 20771  3560 22470 28358  3539
 17418 25756  8044 29231  5406 26923  2861 16683 26415 12466    39   355
 20960 14000 25914  1958 10927 28051 10747  5205  5250  4960  4203  7481
   400  3369 27225 29461 17523     6 10344  8748 13724 19222  2175  2138
  1332 26535 16684 23180 25352  5363 26696 15167 12651 10846 12687 29507
  8632  9063 22403 24043 27996 11707 25541 28645   897 17141    99 22796
 26801 19654 18033 12700  4000 11152 14297 11693  1901 29491 23531 10349
  6758 15829 11343 14103 29545  6233]","[102377  88406  71795  58867  51183  51116  50857  50088  48366  48344
  47450  46864  44906  44326  43324  43073  43028  41816  41724  41678
  40763  40236  39526  39524  39270  39245  39164  38881  38836  38656
  38106  38022  37641  37586  37566  37471  37274  37046  36568  36457
  36374  36216  36054  35960  35763  35716  35403  35102  34743  34714
  34625  34615  34573  34487  34095  34074  33915  33595  33366  33212
  33188  33146  33093  32976  32970  32938  32930  32904  32681  32585
  32578  32506  32475  32459  32448  32428  32386  32382  32249  32214
  32186  32023  31961  31957  31955  31876  31812  31787  31750  31726
  31670  31662  31626  31603  31566  31536  31448  31406  31396  31296
  31234  31175  31155  31100  31063  31011  30946  30901  30881  30813
  30744  30613  30366  30346  30344  30156  30284  30064  29914  30156
  29835  30148  29832  30084  29700  30082  29611  29588  30006  29550
  29962  29420  29946  29096  29946  28920  28890  29938  28807  29850
  28676  29825  28671  28666  29824  28646  29736  28550  29726  28541]",n/a,proportional,0.9990102370839703,fa*ir-protected0-p=0.6035850521554198,0.7114979492915734,40.221631383895875,296230,1.0,male,female,0.00436241610738255,0.006131312271140253,78,72,29623,0,credit,n/a,n/a
"[ 5214  2161 27654 25405  6805 14351 11402 29444 22552  6668 27095 27210
 28264  5829 26214 10811 20617 29586 13772 27153 12163 28269 27791 25897
 23074  2213 19773 23452 18709 19484 10632 22085 14312 13579  8101  8371
  1479 28675 22736 24681 21098 27173  2646 10620 23807 25490 16007 12575
 19459 24826  1360 24370 12918 27122 26257  1236  5599 22418 19041 23584
 13006 14599  4262 14362 11695 11353 19958 20771  3560 22470 28358  3539
 17418 25756  8044 29231  5406 26923  2861 16683 26415 12466    39   355
 20960 14000 25914  1958 10927 28051 10747  5205  5250  4960  4203  7481
   400  3369 27225 29461 17523     6 10344  8748 13724 19222  2175  2138
  1332 26535 16684 23180 25352  5363 26696 12651 29507 15167  9063 24043
 11707 10846   897    99 26801 18033 11152 12687 11693  8632 22403 29491
  6758 11343 29545 27996 21092 25541 28645 17141 10285 15377 22796 23950
 13592   444 11663 19654  8551 13416]","[102377  88406  71795  58867  51183  51116  50857  50088  48366  48344
  47450  46864  44906  44326  43324  43073  43028  41816  41724  41678
  40763  40236  39526  39524  39270  39245  39164  38881  38836  38656
  38106  38022  37641  37586  37566  37471  37274  37046  36568  36457
  36374  36216  36054  35960  35763  35716  35403  35102  34743  34714
  34625  34615  34573  34487  34095  34074  33915  33595  33366  33212
  33188  33146  33093  32976  32970  32938  32930  32904  32681  32585
  32578  32506  32475  32459  32448  32428  32386  32382  32249  32214
  32186  32023  31961  31957  31955  31876  31812  31787  31750  31726
  31670  31662  31626  31603  31566  31536  31448  31406  31396  31296
  31234  31175  31155  31100  31063  31011  30946  30901  30881  30813
  30744  30613  30366  30346  30344  30284  30156  30156  30148  30084
  30082  30064  30006  29962  29946  29946  29938  29914  29850  29835
  29832  29825  29824  29736  29726  29700  29620  29611  29588  29550
  29532  29508  29420  29302  29270  29246  29223  29096  28996  28930]",n/a,proportional,1.0,fa*ir-protected1-p=0.3964149478445802,0.5594684729472201,38.11515870094299,296230,1.0,male,female,0.0038590604026845637,0.006897726305032785,69,81,29623,0,credit,n/a,n/a
