subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name
"[ 5214  2161 27654 25405  6805 14351 11402 29444 22552  6668 27095 27210
 28264  5829 26214 10811 20617 29586 13772 27153 12163 28269 27791 25897
 23074  2213 19773 23452 18709 19484 10632 22085 14312 13579  8101  8371
  1479 28675 22736 24681 21098 27173  2646 10620 23807 25490 16007 12575
 19459 24826  1360 24370 12918 27122 26257  1236  5599 22418 19041 23584
 13006 14599  4262 14362 11695 11353 19958 20771  3560 22470 28358  3539
 17418 25756  8044 29231  5406 26923  2861 16683 26415 12466    39   355
 20960 14000 25914  1958 10927 28051 10747  5205  5250  4960  4203  7481
   400  3369 27225 29461 17523     6 10344  8748 13724 19222  2175  2138
  1332 26535 16684 23180 25352  5363 26696 12651 15167 29507  9063 24043
 11707 10846   897    99 18033 26801 11152 12687 11693  8632 22403 29491
  6758 11343 29545 27996 21092 25541 28645 17141 10285 15377 22796 23950
 13592   444 11663 19654  8551 13416]","[102377.  88406.  71795.  58867.  51183.  51116.  50857.  50088.  48366.
  48344.  47450.  46864.  44906.  44326.  43324.  43073.  43028.  41816.
  41724.  41678.  40763.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38106.  38022.  37641.  37586.  37566.  37471.
  37274.  37046.  36568.  36457.  36374.  36216.  36054.  35960.  35763.
  35716.  35403.  35102.  34743.  34714.  34625.  34615.  34573.  34487.
  34095.  34074.  33915.  33595.  33366.  33212.  33188.  33146.  33093.
  32976.  32970.  32938.  32930.  32904.  32681.  32585.  32578.  32506.
  32475.  32459.  32448.  32428.  32386.  32382.  32249.  32214.  32186.
  32023.  31961.  31957.  31955.  31876.  31812.  31787.  31750.  31726.
  31670.  31662.  31626.  31603.  31566.  31536.  31448.  31406.  31396.
  31296.  31234.  31175.  31155.  31100.  31063.  31011.  30946.  30901.
  30881.  30813.  30744.  30613.  30366.  30346.  30344.  30284.  30156.
  30156.  30148.  30084.  30082.  30064.  30006.  29962.  29946.  29946.
  29938.  29914.  29850.  29835.  29832.  29825.  29824.  29736.  29726.
  29700.  29620.  29611.  29588.  29550.  29532.  29508.  29420.  29302.
  29270.  29246.  29223.  29096.  28996.  28930.]",1.0,proportional,1.0,fagins,0.5594684729472201,26.498113918304444,295130,0.9962866691422205,male,female,0.0038590604026845637,0.006897726305032785,69,81,15510,140030,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848  6805 14351 29444
 27095 27210 20617 29586 27153 12163 10632 13579  8101  1479 24681 21098
 27173 10620 23807 12575 24826  1360 24370 12918 27122 26257  1236 23584
  4262 14362 11695 20771  3560  8044 29231  5406 26923  2861 16683 26415
 12466    39 20960  1958 10927  4960  4203   400 27225 29461     6 10344
  2175  1332 26535 16684  5363 26696 12651 29507  9063 24043 11707   897
    99 18033 26801 11152 11693 29491]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  51183.  51116.  50088.  47450.  46864.  43028.  41816.  41678.  40763.
  38106.  37586.  37566.  37274.  36457.  36374.  36216.  35960.  35763.
  35102.  34714.  34625.  34615.  34573.  34487.  34095.  34074.  33212.
  33093.  32976.  32970.  32904.  32681.  32448.  32428.  32386.  32382.
  32249.  32214.  32186.  32023.  31961.  31955.  31787.  31750.  31603.
  31566.  31448.  31396.  31296.  31175.  31155.  30946.  30881.  30813.
  30744.  30346.  30344.  30284.  30156.  30148.  30084.  30082.  30006.
  29962.  29946.  29946.  29938.  29850.  29825.]",0.1,proportional,0.9981975401192683,fair-fagins,0.7709877443828421,26.22664122581482,295140,0.9963204266954732,male,female,0.004530201342281879,0.00587584092650941,81,69,15524,139900,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793  6805 14351 29444 27095 27210 20617 29586 27153 12163 10632
 13579  8101  1479 24681 21098 27173 10620 23807 12575 24826  1360 24370
 12918 27122 26257  1236 23584  4262 14362 11695 20771  3560  8044 29231
  5406 26923  2861 16683 26415 12466    39 20960  1958 10927  4960  4203
   400 27225 29461     6 10344  2175  1332 26535 16684  5363 26696 12651
 29507  9063 24043 11707   897    99]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  51183.  51116.  50088.  47450.
  46864.  43028.  41816.  41678.  40763.  38106.  37586.  37566.  37274.
  36457.  36374.  36216.  35960.  35763.  35102.  34714.  34625.  34615.
  34573.  34487.  34095.  34074.  33212.  33093.  32976.  32970.  32904.
  32681.  32448.  32428.  32386.  32382.  32249.  32214.  32186.  32023.
  31961.  31955.  31787.  31750.  31603.  31566.  31448.  31396.  31296.
  31175.  31155.  30946.  30881.  30813.  30744.  30346.  30344.  30284.
  30156.  30148.  30084.  30082.  30006.  29962.]",0.05,proportional,0.9962659970901723,fair-fagins,0.8825311101789709,26.234018087387085,295140,0.9963204266954732,male,female,0.004809843400447427,0.00545005535212467,86,64,15589,139250,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793 14079  3292 19753 15141 22282  6805 14351 29444 27095 27210
 20617 29586 27153 12163 10632 13579  8101  1479 24681 21098 27173 10620
 23807 12575 24826  1360 24370 12918 27122 26257  1236 23584  4262 14362
 11695 20771  3560  8044 29231  5406 26923  2861 16683 26415 12466    39
 20960  1958 10927  4960  4203   400 27225 29461     6 10344  2175  1332
 26535 16684  5363 26696 12651 29507]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  27695.  27645.  27621.  27511.
  27494.  51183.  51116.  50088.  47450.  46864.  43028.  41816.  41678.
  40763.  38106.  37586.  37566.  37274.  36457.  36374.  36216.  35960.
  35763.  35102.  34714.  34625.  34615.  34573.  34487.  34095.  34074.
  33212.  33093.  32976.  32970.  32904.  32681.  32448.  32428.  32386.
  32382.  32249.  32214.  32186.  32023.  31961.  31955.  31787.  31750.
  31603.  31566.  31448.  31396.  31296.  31175.  31155.  30946.  30881.
  30813.  30744.  30346.  30344.  30284.  30156.]",0.0,proportional,0.9939485217909666,fair-fagins,0.9871861936921973,26.157812786102294,295180,0.9964554569084833,male,female,0.005089485458612975,0.00502426977773993,91,59,15709,138090,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793 14079  3292 19753  6805 14351 29444 27095 27210 20617 29586
 27153 12163 10632 13579  8101  1479 24681 21098 27173 10620 23807 12575
 24826  1360 24370 12918 27122 26257  1236 23584  4262 14362 11695 20771
  3560  8044 29231  5406 26923  2861 16683 26415 12466    39 20960  1958
 10927  4960  4203   400 27225 29461     6 10344  2175  1332 26535 16684
  5363 26696 12651 29507  9063 24043]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  27695.  27645.  27621.  51183.
  51116.  50088.  47450.  46864.  43028.  41816.  41678.  40763.  38106.
  37586.  37566.  37274.  36457.  36374.  36216.  35960.  35763.  35102.
  34714.  34625.  34615.  34573.  34487.  34095.  34074.  33212.  33093.
  32976.  32970.  32904.  32681.  32448.  32428.  32386.  32382.  32249.
  32214.  32186.  32023.  31961.  31955.  31787.  31750.  31603.  31566.
  31448.  31396.  31296.  31175.  31155.  30946.  30881.  30813.  30744.
  30346.  30344.  30284.  30156.  30148.  30084.]",0.1,proportional,0.9949320751677893,fair-GBGfagins,0.9582343125389665,52.07062439918518,295170,0.9964216993552307,male,female,0.0049776286353467565,0.005194584007493826,89,61,31085,279360,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793 14079  3292 19753 15141  6805 14351 29444 27095 27210 20617
 29586 27153 12163 10632 13579  8101  1479 24681 21098 27173 10620 23807
 12575 24826  1360 24370 12918 27122 26257  1236 23584  4262 14362 11695
 20771  3560  8044 29231  5406 26923  2861 16683 26415 12466    39 20960
  1958 10927  4960  4203   400 27225 29461     6 10344  2175  1332 26535
 16684  5363 26696 12651 29507  9063]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  27695.  27645.  27621.  27511.
  51183.  51116.  50088.  47450.  46864.  43028.  41816.  41678.  40763.
  38106.  37586.  37566.  37274.  36457.  36374.  36216.  35960.  35763.
  35102.  34714.  34625.  34615.  34573.  34487.  34095.  34074.  33212.
  33093.  32976.  32970.  32904.  32681.  32448.  32428.  32386.  32382.
  32249.  32214.  32186.  32023.  31961.  31955.  31787.  31750.  31603.
  31566.  31448.  31396.  31296.  31175.  31155.  30946.  30881.  30813.
  30744.  30346.  30344.  30284.  30156.  30148.]",0.05,proportional,0.9944479192774957,fair-GBGfagins,0.9851510067114093,51.972772169113156,295170,0.9964216993552307,male,female,0.0050335570469798654,0.005109426892616878,90,60,31068,279480,credit
"[ 5214  2161 27654 25405 11402 22552  6668 28264  5829 26214 10811 13772
 28269 27791 25897 23074  2213 19773 23452 18709 19484 22085 14312  8371
 28675 22736  2646 25490 16007 19459  5599 22418 19041 13006 14599 11353
 19958 22470 28358  3539 17418 25756   355 14000 25914 28051 10747  5205
  5250  7481  3369 17523  8748 13724 19222  2138 23180 25352 15167 10846
 12687  8632 22403 27996 25541 28645 17141 22796 19654 12700  4000 14297
  1901 23531 10349 15829 14103  6233 15011 21902 10848 23145 19598  5537
 21184  1793 14079  3292 19753 15141 22282  6805 14351 29444 27095 27210
 20617 29586 27153 12163 10632 13579  8101  1479 24681 21098 27173 10620
 23807 12575 24826  1360 24370 12918 27122 26257  1236 23584  4262 14362
 11695 20771  3560  8044 29231  5406 26923  2861 16683 26415 12466    39
 20960  1958 10927  4960  4203   400 27225 29461     6 10344  2175  1332
 26535 16684  5363 26696 12651 29507]","[102377.  88406.  71795.  58867.  50857.  48366.  48344.  44906.  44326.
  43324.  43073.  41724.  40236.  39526.  39524.  39270.  39245.  39164.
  38881.  38836.  38656.  38022.  37641.  37471.  37046.  36568.  36054.
  35716.  35403.  34743.  33915.  33595.  33366.  33188.  33146.  32938.
  32930.  32585.  32578.  32506.  32475.  32459.  31957.  31876.  31812.
  31726.  31670.  31662.  31626.  31536.  31406.  31234.  31100.  31063.
  31011.  30901.  30613.  30366.  30156.  30064.  29914.  29835.  29832.
  29700.  29611.  29588.  29550.  29420.  29096.  28920.  28890.  28807.
  28676.  28671.  28666.  28646.  28550.  28541.  28406.  28305.  28256.
  27963.  27946.  27861.  27764.  27706.  27695.  27645.  27621.  27511.
  27494.  51183.  51116.  50088.  47450.  46864.  43028.  41816.  41678.
  40763.  38106.  37586.  37566.  37274.  36457.  36374.  36216.  35960.
  35763.  35102.  34714.  34625.  34615.  34573.  34487.  34095.  34074.
  33212.  33093.  32976.  32970.  32904.  32681.  32448.  32428.  32386.
  32382.  32249.  32214.  32186.  32023.  31961.  31955.  31787.  31750.
  31603.  31566.  31448.  31396.  31296.  31175.  31155.  30946.  30881.
  30813.  30744.  30346.  30344.  30284.  30156.]",0.0,proportional,0.9939485217909666,fair-GBGfagins,0.9871861936921973,51.98870511054993,295180,0.9964554569084833,male,female,0.005089485458612975,0.00502426977773993,91,59,31045,279710,credit
"[ 2161  5214 23145 19654 16007 27654  3539 19459 19598 25405 10747 26214
  5537  8371 13724  4000 28358  2646 23074 14312 27791 11402 28051  2213
 22085  5205 19484 10848 28645  8632  5599 19041 25352 22418 19753 23531
  6668  7481 13772 25897  6233 23180  1793 22796 10846 19222  8748 22470
 25541 28264 17141  5250 14599 17523 19958 23452 28269 10349  5829 27996
  3292 17418 12700 14079 15167 21902 25490  3369 28675   355  2138 21184
 10811 25756 25914 11353 22552  1901 19773 13006 14000 18709 15011 14103
 22403 22736 15829 14297 12687 12651  1236 12163 27122 29231 24043 24826
 20960 24681 27210  1332   400 29444  6805 20617 26696  9063 29461  1360
  4960 10620  4262 23584 11695 24370 29586 27225  4203  2861     6 16684
 27153  1479  8044 26535 14351 20771 21098 29507 27095 26923 16683 10632
 12918 26257 26415 14362  2175  5406    39 12575  5363 13579  1958  3560
 12466 27173 10927 10344  8101 23807]","[ 88406. 102377.  27963.  29096.  35403.  71795.  32506.  34743.  27946.
  58867.  31670.  43324.  27861.  37471.  31063.  28890.  32578.  36054.
  39270.  37641.  39526.  50857.  31726.  39245.  38022.  31662.  38656.
  28256.  29588.  29835.  33915.  33366.  30366.  33595.  27621.  28671.
  48344.  31536.  41724.  39524.  28541.  30613.  27706.  29420.  30064.
  31011.  31100.  32585.  29611.  44906.  29550.  31626.  33146.  31234.
  32930.  38881.  40236.  28666.  44326.  29700.  27645.  32475.  28920.
  27695.  30156.  28305.  35716.  31406.  37046.  31957.  30901.  27764.
  43073.  32459.  31812.  32938.  48366.  28676.  39164.  33188.  31876.
  38836.  28406.  28550.  29832.  36568.  28646.  28807.  29914.  30284.
  34074.  40763.  34487.  32428.  30084.  34714.  31955.  36457.  46864.
  30881.  31448.  50088.  51183.  43028.  30344.  30148.  31296.  34625.
  31603.  35960.  33093.  33212.  32970.  34615.  41816.  31396.  31566.
  32249.  31175.  30744.  41678.  37274.  32448.  30813.  51116.  32904.
  36374.  30156.  47450.  32382.  32214.  38106.  34573.  34095.  32186.
  32976.  30946.  32386.  31961.  35102.  30346.  37586.  31787.  32681.
  32023.  36216.  31750.  31155.  37566.  35763.]",0.1,proportional,0.9949320751677893,fair-GBGta,0.9582343125389665,7.3547296047210695,30550,0.10312932518651048,male,female,0.0049776286353467565,0.005194584007493826,89,61,648,57018,credit
"[ 2161  5214 25756 19459 10846 27654  5205 25352  3292 25405  8748 26214
   355  8371 22403 22736 22418  2646 14599 14312 27791 11402 14297 23180
 15141 28358 19484 21184 13772  3369  5599 25490 19773 10747  5250  1793
  6668 15829 19222 25897  4000 23145 18709  8632 19753 27996  3539  6233
 25541 28264 22085 17141 23074 17523 11353 23452 28269 10349  5829  2213
 23531 17418 15011 19958  7481 22796 28051 19598 28675 14103 19654 14000
 10811 21902 22470  1901 22552 12700 12687 13006  2138 10848  5537 16007
 28645 13724 25914 14079 15167 19041  1236 29231 12163   400     6 27173
 23807 29507 20960 27210  4203 12651 29444  6805 20617  5406 21098 10620
 27225  1332 16684 13579 23584  8044 24370 29586 24826  2175 26535 24681
 14362 27153  1479 27122 20771 14351  4262  1360  5363 27095  2861 10344
 10632  4960 26257  1958  9063  3560 12575    39 12466 29461 12918 16683
 11695 10927 26696 26923 26415  8101]","[ 88406. 102377.  32459.  34743.  30064.  71795.  31662.  30366.  27645.
  58867.  31100.  43324.  31957.  37471.  29832.  36568.  33595.  36054.
  33146.  37641.  39526.  50857.  28807.  30613.  27511.  32578.  38656.
  27764.  41724.  31406.  33915.  35716.  39164.  31670.  31626.  27706.
  48344.  28646.  31011.  39524.  28890.  27963.  38836.  29835.  27621.
  29700.  32506.  28541.  29611.  44906.  38022.  29550.  39270.  31234.
  32938.  38881.  40236.  28666.  44326.  39245.  28671.  32475.  28406.
  32930.  31536.  29420.  31726.  27946.  37046.  28550.  29096.  31876.
  43073.  28305.  32585.  28676.  48366.  28920.  29914.  33188.  30901.
  28256.  27861.  35403.  29588.  31063.  31812.  27695.  30156.  33366.
  34074.  32428.  40763.  31448.  31175.  36216.  35763.  30156.  31955.
  46864.  31566.  30284.  50088.  51183.  43028.  32386.  36374.  35960.
  31396.  30881.  30744.  37586.  33212.  32448.  34615.  41816.  34714.
  30946.  30813.  36457.  32976.  41678.  37274.  34487.  32904.  51116.
  33093.  34625.  30346.  47450.  32249.  31155.  38106.  31603.  34095.
  31787.  30148.  32681.  35102.  31961.  32023.  31296.  34573.  32214.
  32970.  31750.  30344.  32382.  32186.  37566.]",0.05,proportional,0.9944479192774957,fair-GBGta,0.9851510067114093,7.344707012176514,30730,0.1037369611450562,male,female,0.0050335570469798654,0.005109426892616878,90,60,649,57103,credit
"[ 2161  5214 19958 28645  3539 27654 19654  5250  1793 25405 14000 26214
  6233  8371  2213 10747 25352  2646 22085 14312 27791 11402 25490 14599
 28051 14297 19484  8632 27996  3369  5599 22418 13772   355 22796 19222
  6668 14079 22736 25897  2138 25756 11353  4000 22403 12700  1901  7481
 25541 28264 15829 16007 10848 17523 15141 23452 28269 14103  5829 19041
 10846 17418  5537 25914 15167 17141 23531 13724 28675  3292 19459 28358
 10811 19598 18709 23145 22552 15011 23074 13006  5205 19773 21902 23180
 19753  8748 22470 12687 22282 21184 10349  4203 24826 12163 13579  1360
 26696  8101 14362 10927 27210  1958 23807 29444  6805 20617 27173 11695
 26535  1236 16684 21098 24681 29231 10620 24370 29586 26923 27225 12575
  5406  4262 27153  1479  3560 12651 14351 29461 12466   400 27095 27122
 23584 10632 20771 26257  2175  5363 10344 16683    39  2861 26415     6
  4960 29507  8044 12918  1332 20960]","[ 88406. 102377.  32930.  29588.  32506.  71795.  29096.  31626.  27706.
  58867.  31876.  43324.  28541.  37471.  39245.  31670.  30366.  36054.
  38022.  37641.  39526.  50857.  35716.  33146.  31726.  28807.  38656.
  29835.  29700.  31406.  33915.  33595.  41724.  31957.  29420.  31011.
  48344.  27695.  36568.  39524.  30901.  32459.  32938.  28890.  29832.
  28920.  28676.  31536.  29611.  44906.  28646.  35403.  28256.  31234.
  27511.  38881.  40236.  28550.  44326.  33366.  30064.  32475.  27861.
  31812.  30156.  29550.  28671.  31063.  37046.  27645.  34743.  32578.
  43073.  27946.  38836.  27963.  48366.  28406.  39270.  33188.  31662.
  39164.  28305.  30613.  27621.  31100.  32585.  29914.  27494.  27764.
  28666.  31566.  34714.  40763.  37586.  34625.  30344.  37566.  32976.
  31750.  46864.  31787.  35763.  50088.  51183.  43028.  36216.  32970.
  30813.  34074.  30744.  36374.  36457.  32428.  35960.  34615.  41816.
  32382.  31396.  35102.  32386.  33093.  41678.  37274.  32681.  30284.
  51116.  31296.  32023.  31448.  47450.  34487.  33212.  38106.  32904.
  34095.  30946.  30346.  31155.  32214.  31961.  32249.  32186.  31175.
  31603.  30156.  32448.  34573.  30881.  31955.]",0.0,proportional,0.9939485217909666,fair-GBGta,0.9871861936921973,7.311160039901734,30730,0.1037369611450562,male,female,0.005089485458612975,0.00502426977773993,91,59,648,57015,credit
