subset,r_value,subset_scores,fairness_goal,utility_ratio,method,wall_time,total_positions_seen,position_seen_prop,count_White,count_Black,count_Asian,count_AmIn,count_Other,sa_count,ra_count,data_name
"[45929 48629 38856 16422 32918 38334  6524 20283 23467 39084 24983 10964
 16740 26825 35752  3368  7629 10771 28264 30913 41982 24105 24295 27635
 40366 15279  5098  5473  8710 14117 27640  7090 28294  7517 33904 41215
 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443 33692 36448
 37343 37784 39419 40415  8742 24638 28318 39917  1682  2319 10366 13499
 19900 26593 29635 33263 41557 47739 17538 18654 22361 39038 42639 47011
  4625 19080 30244 34998 14579 31828 33253 38024 40748 42935 15604 22385
 32090 41840 45600 12677 34385 37176  2103  3105  4898  6751  7745 13455
 14238 17789 18408 18463]",0,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100093. 100093.
 100092. 100087. 100085. 100085. 100085. 100085. 100084. 100084. 100084.
 100084. 100083. 100083. 100082. 100082. 100082. 100082. 100080. 100079.
 100079. 100079. 100079. 100078. 100077. 100077. 100075. 100075. 100075.
 100075. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100073. 100073.
 100073. 100073. 100072. 100072. 100072. 100072. 100072. 100072. 100072.
 100072. 100072. 100072. 100071. 100070. 100070. 100070. 100070. 100070.
 100069. 100069. 100069. 100069. 100068. 100068. 100068. 100068. 100068.
 100068. 100067. 100067. 100067. 100067. 100067. 100065. 100065. 100065.
 100064. 100064. 100064. 100064. 100064. 100064. 100064. 100064. 100064.
 100064.]",rooney 0,1,fair-share-fagins,31.92218823,81900,0.419208878,90,3,5,0,2,7127,53392,adult
"[45929 48629 38856 16422 32918 28318 39917 26593 31111  4656 24295 37343
 17538  4625  6751 19740 33797 18189 25195 30115 28264  8710 38873 45470
 39163 38334  6524 20283 23467 39084 24983 10964 16740 26825 35752  3368
  7629 10771 30913 41982 24105 27635 40366 15279  5098  5473 14117 27640
  7090 28294  7517 33904 41215 47185  1246  1616  2361  5588 12141 18882
 24673 29806 33443 33692 36448 37784 39419 40415  8742 24638  1682  2319
 10366 13499 19900 29635 33263 41557 47739 18654 22361 39038 42639 47011
 19080 30244 34998 14579 31828 33253 38024 40748 42935 15604 22385 32090
 41840 45600 12677 34385]",5,"[100113. 100098. 100095. 100094. 100094. 100073. 100073. 100072. 100064.
 100051. 100082. 100074. 100071. 100069. 100064.  27885.  27881.  15079.
  15077.  15073. 100084. 100079. 100049.  13620.   8667. 100094. 100093.
 100093. 100093. 100092. 100087. 100085. 100085. 100085. 100085. 100084.
 100084. 100084. 100083. 100083. 100082. 100082. 100082. 100080. 100079.
 100079. 100079. 100078. 100077. 100077. 100075. 100075. 100075. 100075.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100073. 100073. 100072. 100072.
 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100070. 100070.
 100070. 100070. 100070. 100069. 100069. 100069. 100068. 100068. 100068.
 100068. 100068. 100068. 100067. 100067. 100067. 100067. 100067. 100065.
 100065.]",rooney 5,0.942323993,fair-share-fagins,58.08367953,120268,0.615597232,80,5,5,5,5,13514,66212,adult
"[45929 48629 38856 16422 32918 38334  6524 20283 23467 39084 28318 39917
 26593 31111  4656  6225 10962 15737 32907 34461 24295 37343 17538  4625
  6751 37262 42768 13422 12093 10661 19740 33797 18189 25195 30115 24376
 10033 16847 47926  1216 28264  8710 38873 45470 39163 25359 18252 14779
  9072 40866 24983 10964 16740 26825 35752  3368  7629 10771 30913 41982
 24105 27635 40366 15279  5098  5473 14117 27640  7090 28294  7517 33904
 41215 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443 33692
 36448 37784 39419 40415  8742 24638  1682  2319 10366 13499 19900 29635
 33263 41557 47739 18654]",10,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100093. 100093.
 100092. 100073. 100073. 100072. 100064. 100051. 100049. 100049. 100048.
 100048. 100048. 100082. 100074. 100071. 100069. 100064. 100064. 100063.
 100062. 100059. 100054.  27885.  27881.  15079.  15077.  15073.  14397.
  14133.  13617.  13600.   7738. 100084. 100079. 100049.  13620.   8667.
   7751.   7745.   7740.   7361.   7351. 100087. 100085. 100085. 100085.
 100085. 100084. 100084. 100084. 100083. 100083. 100082. 100082. 100082.
 100080. 100079. 100079. 100079. 100078. 100077. 100077. 100075. 100075.
 100075. 100075. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100073. 100073.
 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100072.
 100070.]",rooney 10,0.852453465,fair-share-fagins,68.69166851,132384,0.677613529,60,10,10,10,10,16073,68092,adult
"[30244 37343 47739 18654 24295  1682 32090 47185 26593 19900 48629 23467
 34385 15604 28264 29806 41840  6524  5473 34998  2361 33253 33263 13499
 10771 39917 39084 45600 42935 10964 41982 35752 14117 22361 33904 42639
 40366 12141 36448 15279 33443 24638 27640 30913 24983 12677 45929 33692
  8742  2319 18882 39419 28294 24105 41557 32918 39038 38856 38024  1616
  5098 41215 19080  3368 16422  5588 27635 38334 26825  3105 37784 40748
 14238 18463  7745 42262 29635  7517 34729  7090 37176 16740 35830 24008
 22385  7629 40415 24510 14579 24673 17538 18408 10366 28318 20283  1246
 47011  4625  8710 31828]",0,"[100069. 100074. 100072. 100070. 100082. 100072. 100067. 100075. 100072.
 100072. 100098. 100093. 100065. 100067. 100084. 100074. 100067. 100093.
 100079. 100069. 100074. 100068. 100072. 100072. 100084. 100073. 100092.
 100067. 100068. 100085. 100083. 100085. 100079. 100070. 100075. 100070.
 100082. 100074. 100074. 100080. 100074. 100073. 100078. 100083. 100087.
 100065. 100113. 100074. 100073. 100072. 100074. 100074. 100077. 100082.
 100072. 100094. 100070. 100095. 100068. 100074. 100079. 100075. 100069.
 100084. 100094. 100074. 100082. 100094. 100085. 100064. 100074. 100068.
 100064. 100064. 100064. 100064. 100072. 100075. 100064. 100077. 100065.
 100085. 100064. 100064. 100067. 100084. 100074. 100064. 100068. 100074.
 100071. 100064. 100072. 100073. 100093. 100074. 100070. 100069. 100079.
 100068.]",rooney 0,1,fair-share-bpa2,0.22365036,3792,0.019409525,91,3,4,0,2,30,3672,adult
"[38856 48629 32918 38334 45929 31111 26593 39917  4656 28318 17538  4625
 24295 37343  6751 18189 33797 19740 25195 30115 45470 39163 38873  8710
 28264 47011 22385 37784 29635  5473 31828 12141  7629 16740 39084 40748
 28294 42935 24638 47185 40366 34998 42639 33692  2361 14117 13499 30244
 39038  1616 19080  8742 41215 16422  1246 10964 19900  7517 37176 33443
 27640 27635 18654 14579 47739 45600 40415  3368 22361 32090 24983 24105
 23467 10366 15604 15279 41557 26825 33263 10771  5588 20283 24673 38024
 36448  5098  2319  7090 18882 30913 33253 29806 35752 41982 33904 39419
  6524 41840 34385  1682]",5,"[100095. 100098. 100094. 100094. 100113. 100064. 100072. 100073. 100051.
 100073. 100071. 100069. 100082. 100074. 100064.  15079.  27881.  27885.
  15077.  15073.  13620.   8667. 100049. 100079. 100084. 100070. 100067.
 100074. 100072. 100079. 100068. 100074. 100084. 100085. 100092. 100068.
 100077. 100068. 100073. 100075. 100082. 100069. 100070. 100074. 100074.
 100079. 100072. 100069. 100070. 100074. 100069. 100073. 100075. 100094.
 100074. 100085. 100072. 100075. 100065. 100074. 100078. 100082. 100070.
 100068. 100072. 100067. 100074. 100084. 100070. 100067. 100087. 100082.
 100093. 100072. 100067. 100080. 100072. 100085. 100072. 100084. 100074.
 100093. 100074. 100068. 100074. 100079. 100072. 100077. 100074. 100083.
 100068. 100074. 100085. 100083. 100075. 100074. 100093. 100067. 100065.
 100072.]",rooney 5,0.942323993,fair-share-bpa2,1.785202169,29996,0.153535891,80,5,5,5,5,30,29876,adult
"[16422 32918 23467 48629 38334 39084 45929 20283 38856  6524 10962 34461
 39917 15737 31111 32907  6225  4656 26593 28318  4625 13422 17538 24295
 42768 37262  6751 10661 12093 37343 24376  1216 18189 25195 10033 16847
 47926 30115 33797 19740 39163  9072 14779 25359 28264  8710 38873 18252
 40866 45470 13499 41215  2319  7090  5588 12141 24638 18882  5473  1682
 47739 33904  1616 27635 29806 24983 29635 24673 10964 39419  3368  2361
  5098  8742 19900  7517 40366 47185 10366 36448 26825  7629 33692 41557
 28294 16740 37784 35752  1246 33443 33263 41982 47011 24105 27640 40415
 14117 10771 15279 30913]",10,"[100094. 100094. 100093. 100098. 100094. 100092. 100113. 100093. 100095.
 100093. 100049. 100048. 100073. 100048. 100064. 100048. 100049. 100051.
 100072. 100073. 100069. 100062. 100071. 100082. 100063. 100064. 100064.
 100054. 100059. 100074.  14397.   7738.  15079.  15077.  14133.  13617.
  13600.  15073.  27881.  27885.   8667.   7361.   7740.   7751. 100084.
 100079. 100049.   7745.   7351.  13620. 100072. 100075. 100072. 100077.
 100074. 100074. 100073. 100074. 100079. 100072. 100072. 100075. 100074.
 100082. 100074. 100087. 100072. 100074. 100085. 100074. 100084. 100074.
 100079. 100073. 100072. 100075. 100082. 100075. 100072. 100074. 100085.
 100084. 100074. 100072. 100077. 100085. 100074. 100085. 100074. 100074.
 100072. 100083. 100070. 100082. 100078. 100074. 100079. 100084. 100080.
 100083.]",rooney 10,0.852453465,fair-share-bpa2,1.88302412,31388,0.160660907,60,10,10,10,10,30,31268,adult
"[45929 48629 38856 38334 32918 16422 23467 20283  6524 39084 24983 35752
 26825 16740 10964 28264 10771  7629  3368 41982 30913 40366 27635 24295
 24105 15279 14117  8710  5473  5098 27640 28294  7090 47185 41215 33904
  7517 40415 39419 37784 37343 36448 33692 33443 29806 24673 18882 12141
  5588  2361  1616  1246 39917 28318 24638  8742 47739 41557 33263 29635
 26593 19900 13499 10366  2319  1682 17538 47011 42639 39038 22361 18654
 34998 30244 19080  4625 42935 40748 38024 33253 31828 14579 45600 41840
 32090 22385 15604 37176 34385 12677 45739 42262 37262 35830 34729 31111
 24850 24510 24067 24008]",0,"[100113 100098 100095 100094 100094 100094 100093 100093 100093 100092
 100087 100085 100085 100085 100085 100084 100084 100084 100084 100083
 100083 100082 100082 100082 100082 100080 100079 100079 100079 100079
 100078 100077 100077 100075 100075 100075 100075 100074 100074 100074
 100074 100074 100074 100074 100074 100074 100074 100074 100074 100074
 100074 100074 100073 100073 100073 100073 100072 100072 100072 100072
 100072 100072 100072 100072 100072 100072 100071 100070 100070 100070
 100070 100070 100069 100069 100069 100069 100068 100068 100068 100068
 100068 100068 100067 100067 100067 100067 100067 100065 100065 100065
 100064 100064 100064 100064 100064 100064 100064 100064 100064 100064]",rooney 0,1,divtopk,31.19902558,195368,1,89,4,5,0,2,48842,0,adult
"[45929 48629 38856 38334 32918 16422 23467 20283  6524 39084 24983 35752
 26825 16740 10964 28264 10771  7629  3368 41982 30913 40366 27635 24295
 24105 15279 14117  8710  5473  5098 27640 28294  7090 47185 41215 33904
  7517 40415 39419 37784 37343 36448 33692 33443 29806 24673 18882 12141
  5588  2361  1616  1246 39917 28318 24638  8742 47739 41557 33263 29635
 26593 19900 13499 10366  2319  1682 17538 47011 42639 39038 22361 18654
 34998 30244 19080  4625 42935 40748 38024 33253 31828 14579 45600 41840
 32090 22385 15604 37176 34385 37262 31111  4656 38873 19740 33797 18189
 25195 30115 45470 39163]",5,"[100113 100098 100095 100094 100094 100094 100093 100093 100093 100092
 100087 100085 100085 100085 100085 100084 100084 100084 100084 100083
 100083 100082 100082 100082 100082 100080 100079 100079 100079 100079
 100078 100077 100077 100075 100075 100075 100075 100074 100074 100074
 100074 100074 100074 100074 100074 100074 100074 100074 100074 100074
 100074 100074 100073 100073 100073 100073 100072 100072 100072 100072
 100072 100072 100072 100072 100072 100072 100071 100070 100070 100070
 100070 100070 100069 100069 100069 100069 100068 100068 100068 100068
 100068 100068 100067 100067 100067 100067 100067 100065 100065 100064
 100064 100051 100049  27885  27881  15079  15077  15073  13620   8667]",rooney 5,0.942323993,divtopk,31.18262191,195368,1,80,5,5,5,5,48842,0,adult
"[45929 48629 38856 38334 32918 16422 23467 20283  6524 39084 24983 35752
 26825 16740 10964 28264 10771  7629  3368 41982 30913 40366 27635 24295
 24105 15279 14117  8710  5473  5098 27640 28294  7090 47185 41215 33904
  7517 40415 39419 37784 37343 36448 33692 33443 29806 24673 18882 12141
  5588  2361  1616  1246 39917 28318 24638  8742 47739 41557 33263 29635
 26593 19900 13499 10366  2319  1682 17538 47011  4625 37262 31111  6751
 42768 13422 12093 40113  4656 38873 10962  6225 34461 32907 15737 19740
 33797 18189 25195 30115 24376 10033 45470 16847 47926 39163 25359 18252
 14779  1216  9072 40866]",10,"[100113 100098 100095 100094 100094 100094 100093 100093 100093 100092
 100087 100085 100085 100085 100085 100084 100084 100084 100084 100083
 100083 100082 100082 100082 100082 100080 100079 100079 100079 100079
 100078 100077 100077 100075 100075 100075 100075 100074 100074 100074
 100074 100074 100074 100074 100074 100074 100074 100074 100074 100074
 100074 100074 100073 100073 100073 100073 100072 100072 100072 100072
 100072 100072 100072 100072 100072 100072 100071 100070 100069 100064
 100064 100064 100063 100062 100059 100054 100051 100049 100049 100049
 100048 100048 100048  27885  27881  15079  15077  15073  14397  14133
  13620  13617  13600   8667   7751   7745   7740   7738   7361   7351]",rooney 10,0.852453465,divtopk,31.21262879,195368,1,60,10,10,10,10,48842,0,adult
"[26427 30781 43018 45888  8963 19399 24067 32429  4421 14756 27764 36368
  3281 13455 23802 41238 20416 27413 36367 41226  2361 11902 26332 27809
 35251 39917 41864 43500 36328 39908 40988 45331  9126 13422 15942 35591
  3389 12209 23054 42232  3390 12600 30610 30913  4389 12677 26250 48157
 12714 35722 35798 45645 12715 28112 32518 33743 30539 36294 38024 40593
  5098  5309 36288 40587  7143 11833 38032 42013 11976 19141 33006 39815
 19529 22845 26431 42262  6898 18315 19479 42825  5713 26465 35830 40151
  3505 10965 26414 41749 19419 24673 25629 42079 19133 19140 26477 47050
  3536 18797 23087 34639]",0,"[    66   4406 100042    108   4405    109 100064     61 100048   4383
    112     61     66 100064   3950    103   3944 100054     56    105
 100074   3824   2048    109    111 100073   3823   1464     66 100052
    113   3816  20122 100062   3816    108  15100    103   3732 100053
  15076   3719    109 100083 100048 100065    110   3239     56   3199
    109 100057  14145    108 100048   3057   3055     20 100068    105
 100079   3074     56    109   2053    112 100052   3055 100047    103
     71   3054    108   2888     56 100064    105 100052     66   2890
   2884     48 100064    108     56   2857 100053    108     96 100074
   2876    112 100052   2907   1953    108     66   2879 100052    109]",rooney 0,0.276082606,fair-GBG_bpa2,0.064814711,400,0.002047418,92,6,2,0,0,25,300,adult
