subset,r_value,subset_scores,fairness_goal,utility_ratio,method,wall_time,total_positions_seen,position_seen_prop,count_White,count_Black,count_Asian,count_AmIn,count_Other,sa_count,ra_count,data_name
"[45929 48629 38856 16422 32918 38334  6524 20283 23467 39084 24983 10964
 16740 26825 35752  3368  7629 10771 28264 30913 41982 24105 24295 27635
 40366 15279  5098  5473  8710 14117 27640  7090 28294  7517 33904 41215
 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443 33692 36448
 37343 37784 39419 40415  8742 24638 28318 39917  1682  2319 10366 13499
 19900 26593 29635 33263 41557 47739 17538 18654 22361 39038 42639 47011
  4625 19080 30244 34998 14579 31828 33253 38024 40748 42935 15604 22385
 32090 41840 45600 12677 34385 37176  2103  3105  4898  6751  7745 13455
 14238 17789 18408 18463]",0,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100093. 100093.
 100092. 100087. 100085. 100085. 100085. 100085. 100084. 100084. 100084.
 100084. 100083. 100083. 100082. 100082. 100082. 100082. 100080. 100079.
 100079. 100079. 100079. 100078. 100077. 100077. 100075. 100075. 100075.
 100075. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100073. 100073.
 100073. 100073. 100072. 100072. 100072. 100072. 100072. 100072. 100072.
 100072. 100072. 100072. 100071. 100070. 100070. 100070. 100070. 100070.
 100069. 100069. 100069. 100069. 100068. 100068. 100068. 100068. 100068.
 100068. 100067. 100067. 100067. 100067. 100067. 100065. 100065. 100065.
 100064. 100064. 100064. 100064. 100064. 100064. 100064. 100064. 100064.
 100064.]",rooney 0,1.0,fair-fagins,29.883929538726807,81900,0.41920887760533965,90,3,5,0,2,7127,53392,adult
"[45929 48629 38856 16422 32918 28318 39917 26593 31111  4656 24295 37343
 17538  4625  6751 19740 33797 18189 25195 30115 28264  8710 38873 45470
 39163 38334  6524 20283 23467 39084 24983 10964 16740 26825 35752  3368
  7629 10771 30913 41982 24105 27635 40366 15279  5098  5473 14117 27640
  7090 28294  7517 33904 41215 47185  1246  1616  2361  5588 12141 18882
 24673 29806 33443 33692 36448 37784 39419 40415  8742 24638  1682  2319
 10366 13499 19900 29635 33263 41557 47739 18654 22361 39038 42639 47011
 19080 30244 34998 14579 31828 33253 38024 40748 42935 15604 22385 32090
 41840 45600 12677 34385]",5,"[100113. 100098. 100095. 100094. 100094. 100073. 100073. 100072. 100064.
 100051. 100082. 100074. 100071. 100069. 100064.  27885.  27881.  15079.
  15077.  15073. 100084. 100079. 100049.  13620.   8667. 100094. 100093.
 100093. 100093. 100092. 100087. 100085. 100085. 100085. 100085. 100084.
 100084. 100084. 100083. 100083. 100082. 100082. 100082. 100080. 100079.
 100079. 100079. 100078. 100077. 100077. 100075. 100075. 100075. 100075.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100073. 100073. 100072. 100072.
 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100070. 100070.
 100070. 100070. 100070. 100069. 100069. 100069. 100068. 100068. 100068.
 100068. 100068. 100068. 100067. 100067. 100067. 100067. 100067. 100065.
 100065.]",rooney 5,0.9423239934765194,fair-fagins,54.39204840660095,120268,0.615597231890586,80,5,5,5,5,13514,66212,adult
"[45929 48629 38856 16422 32918 38334  6524 20283 23467 39084 28318 39917
 26593 31111  4656  6225 10962 15737 32907 34461 24295 37343 17538  4625
  6751 37262 42768 13422 12093 10661 19740 33797 18189 25195 30115 24376
 10033 16847 47926  1216 28264  8710 38873 45470 39163 25359 18252 14779
  9072 40866 24983 10964 16740 26825 35752  3368  7629 10771 30913 41982
 24105 27635 40366 15279  5098  5473 14117 27640  7090 28294  7517 33904
 41215 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443 33692
 36448 37784 39419 40415  8742 24638  1682  2319 10366 13499 19900 29635
 33263 41557 47739 18654]",10,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100093. 100093.
 100092. 100073. 100073. 100072. 100064. 100051. 100049. 100049. 100048.
 100048. 100048. 100082. 100074. 100071. 100069. 100064. 100064. 100063.
 100062. 100059. 100054.  27885.  27881.  15079.  15077.  15073.  14397.
  14133.  13617.  13600.   7738. 100084. 100079. 100049.  13620.   8667.
   7751.   7745.   7740.   7361.   7351. 100087. 100085. 100085. 100085.
 100085. 100084. 100084. 100084. 100083. 100083. 100082. 100082. 100082.
 100080. 100079. 100079. 100079. 100078. 100077. 100077. 100075. 100075.
 100075. 100075. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100073. 100073.
 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100072.
 100070.]",rooney 10,0.8524534648421626,fair-fagins,64.0300187110901,132384,0.6776135293395029,60,10,10,10,10,16073,68092,adult
"[30244  5473 47739 34998 40366 13499 24295 47185 26593 32090 19900 26825
 34385 23467 39038 29806 15604 28264 39084  6524  2361 45600 33263  1682
 48629 39917 42935 22361 15279 10964 41982 33692 14117  5588 33904 12141
  2319 18654 35752 36448 33443 18882 39419 30913 24983 12677 42639 28294
 10771 24638  3368  6751  1616 19080 41557 41215 32918 34729 38024 24105
  5098 22385 29635 41840 16422 45929 27640 38334 37343  8742 37784 40748
  7629  7090 27635 42262 18463 24510 37176  7745 28318 16740 35830 14238
 31828 17538 40415  7517 24008 24673 33253 18408 14579 38856 20283  1246
 10366  4625  8710 47011]",0,"[100069. 100079. 100072. 100069. 100082. 100072. 100082. 100075. 100072.
 100067. 100072. 100085. 100065. 100093. 100070. 100074. 100067. 100084.
 100092. 100093. 100074. 100067. 100072. 100072. 100098. 100073. 100068.
 100070. 100080. 100085. 100083. 100074. 100079. 100074. 100075. 100074.
 100072. 100070. 100085. 100074. 100074. 100074. 100074. 100083. 100087.
 100065. 100070. 100077. 100084. 100073. 100084. 100064. 100074. 100069.
 100072. 100075. 100094. 100064. 100068. 100082. 100079. 100067. 100072.
 100067. 100094. 100113. 100078. 100094. 100074. 100073. 100074. 100068.
 100084. 100077. 100082. 100064. 100064. 100064. 100065. 100064. 100073.
 100085. 100064. 100064. 100068. 100071. 100074. 100075. 100064. 100074.
 100068. 100064. 100068. 100095. 100093. 100074. 100072. 100069. 100079.
 100070.]",rooney 0,1.0,fair-ta,0.6637494564056396,3804,0.019470947135661932,90,3,5,0,2,245,2911,adult
"[38856 48629 32918 38334 45929 31111 26593 39917  4656 28318 17538  4625
 24295 37343  6751 18189 33797 19740 25195 30115 45470 39163 38873  8710
 28264 24105 22385 37784 29635  5473 31828 12141 40748  2361  7629 33692
 28294 39084 24638 47185 30244 42935 34998 47011  7517 14117  5098 16740
 41557 18654 19080 16422  1616 10964 41215 33443  1246 14579 37176 27640
 27635 34385 42639 47739 32090  8742 40415  3368 19900 23467 24983 45600
 15604 10366 15279 26825 33263 33904 13499 10771 22361 20283 24673 38024
  6524 39038 35752  7090  2319 30913 33253 29806 41840 41982  5588 18882
 40366 39419 36448  1682]",5,"[100095. 100098. 100094. 100094. 100113. 100064. 100072. 100073. 100051.
 100073. 100071. 100069. 100082. 100074. 100064.  15079.  27881.  27885.
  15077.  15073.  13620.   8667. 100049. 100079. 100084. 100082. 100067.
 100074. 100072. 100079. 100068. 100074. 100068. 100074. 100084. 100074.
 100077. 100092. 100073. 100075. 100069. 100068. 100069. 100070. 100075.
 100079. 100079. 100085. 100072. 100070. 100069. 100094. 100074. 100085.
 100075. 100074. 100074. 100068. 100065. 100078. 100082. 100065. 100070.
 100072. 100067. 100073. 100074. 100084. 100072. 100093. 100087. 100067.
 100067. 100072. 100080. 100085. 100072. 100075. 100072. 100084. 100070.
 100093. 100074. 100068. 100093. 100070. 100085. 100077. 100072. 100083.
 100068. 100074. 100067. 100083. 100074. 100074. 100082. 100074. 100074.
 100072.]",rooney 5,0.9423239934765194,fair-ta,5.57225489616394,28896,0.14790549117562754,80,5,5,5,5,2056,23598,adult
"[16422 32918 23467 48629 38334 39084 45929 20283 38856  6524 10962 34461
 39917 15737 31111 32907  6225 26593  4656 28318  4625 13422 17538 24295
 42768 37262  6751 10661 37343 12093 24376  1216 18189 25195 10033 16847
 47926 30115 33797 19740 39163  9072 14779 25359 28264  8710 38873 40866
 18252 45470 13499 41215  2319  7090 27635 12141 24638  1682  5588 18882
 47739 33904  1616 10366 29806 24983 29635 24673  5473 39419 10964  2361
  5098  7517  8742 26825 19900 28294 47185 36448  7629 33692 40366 41557
 16740 35752 37784 40415  1246  3368 33263 41982 47011 24105 33443 10771
 14117 27640 15279 30913]",10,"[100094. 100094. 100093. 100098. 100094. 100092. 100113. 100093. 100095.
 100093. 100049. 100048. 100073. 100048. 100064. 100048. 100049. 100072.
 100051. 100073. 100069. 100062. 100071. 100082. 100063. 100064. 100064.
 100054. 100074. 100059.  14397.   7738.  15079.  15077.  14133.  13617.
  13600.  15073.  27881.  27885.   8667.   7361.   7740.   7751. 100084.
 100079. 100049.   7351.   7745.  13620. 100072. 100075. 100072. 100077.
 100082. 100074. 100073. 100072. 100074. 100074. 100072. 100075. 100074.
 100072. 100074. 100087. 100072. 100074. 100079. 100074. 100085. 100074.
 100079. 100075. 100073. 100085. 100072. 100077. 100075. 100074. 100084.
 100074. 100082. 100072. 100085. 100085. 100074. 100074. 100074. 100084.
 100072. 100083. 100070. 100082. 100074. 100084. 100079. 100078. 100080.
 100083.]",rooney 10,0.8524534648421626,fair-ta,5.7462938785552975,30204,0.1546005487080791,60,10,10,10,10,2156,24723,adult
"[30244  5473 47739 34998 40366 13499 24295 47185 26593 32090 19900 26825
 34385 23467 39038 29806 15604 28264 39084  6524  2361 45600 33263  1682
 48629 39917 42935 22361 15279 10964 41982 33692 14117  5588 33904 12141
  2319 18654 35752 36448 33443 18882 39419 30913 24983 12677 42639 28294
 10771 24638  3368  6751  1616 19080 41557 41215 32918 34729 38024 24105
  5098 22385 29635 41840 16422 45929 27640 38334 37343  8742 37784 40748
  7629  7090 27635 42262 18463 24510 37176  7745 28318 16740 35830 14238
 31828 17538 40415  7517 24008 24673 33253 18408 14579 38856 20283  1246
 10366  4625  8710 47011]",0,"[100069. 100079. 100072. 100069. 100082. 100072. 100082. 100075. 100072.
 100067. 100072. 100085. 100065. 100093. 100070. 100074. 100067. 100084.
 100092. 100093. 100074. 100067. 100072. 100072. 100098. 100073. 100068.
 100070. 100080. 100085. 100083. 100074. 100079. 100074. 100075. 100074.
 100072. 100070. 100085. 100074. 100074. 100074. 100074. 100083. 100087.
 100065. 100070. 100077. 100084. 100073. 100084. 100064. 100074. 100069.
 100072. 100075. 100094. 100064. 100068. 100082. 100079. 100067. 100072.
 100067. 100094. 100113. 100078. 100094. 100074. 100073. 100074. 100068.
 100084. 100077. 100082. 100064. 100064. 100064. 100065. 100064. 100073.
 100085. 100064. 100064. 100068. 100071. 100074. 100075. 100064. 100074.
 100068. 100064. 100068. 100095. 100093. 100074. 100072. 100069. 100079.
 100070.]",rooney 0,1.0,fair-bpa,0.6697508335113526,3792,0.01940952458949265,90,3,5,0,2,244,2900,adult
"[38856 48629 32918 38334 45929 31111 26593 39917  4656 28318 17538  4625
 24295 37343  6751 18189 33797 19740 25195 30115 45470 39163 38873  8710
 28264 24105 22385 37784 29635  5473 31828 12141 40748  2361  7629 33692
 28294 39084 24638 47185 30244 42935 34998 47011  7517 14117  5098 16740
 41557 18654 19080 16422  1616 10964 41215 33443  1246 14579 37176 27640
 27635 34385 42639 47739 32090  8742 40415  3368 19900 23467 24983 45600
 15604 10366 15279 26825 33263 33904 13499 10771 22361 20283 24673 38024
  6524 39038 35752  7090  2319 30913 33253 29806 41840 41982  5588 18882
 40366 39419 36448  1682]",5,"[100095. 100098. 100094. 100094. 100113. 100064. 100072. 100073. 100051.
 100073. 100071. 100069. 100082. 100074. 100064.  15079.  27881.  27885.
  15077.  15073.  13620.   8667. 100049. 100079. 100084. 100082. 100067.
 100074. 100072. 100079. 100068. 100074. 100068. 100074. 100084. 100074.
 100077. 100092. 100073. 100075. 100069. 100068. 100069. 100070. 100075.
 100079. 100079. 100085. 100072. 100070. 100069. 100094. 100074. 100085.
 100075. 100074. 100074. 100068. 100065. 100078. 100082. 100065. 100070.
 100072. 100067. 100073. 100074. 100084. 100072. 100093. 100087. 100067.
 100067. 100072. 100080. 100085. 100072. 100075. 100072. 100084. 100070.
 100093. 100074. 100068. 100093. 100070. 100085. 100077. 100072. 100083.
 100068. 100074. 100067. 100083. 100074. 100074. 100082. 100074. 100074.
 100072.]",rooney 5,0.9423239934765194,fair-bpa,5.531493902206421,28896,0.14790549117562754,80,5,5,5,5,2056,23598,adult
"[16422 32918 23467 48629 38334 39084 45929 20283 38856  6524 10962 34461
 39917 15737 31111 32907  6225 26593  4656 28318  4625 13422 17538 24295
 42768 37262  6751 10661 37343 12093 24376  1216 18189 25195 10033 16847
 47926 30115 33797 19740 39163  9072 14779 25359 28264  8710 38873 40866
 18252 45470 13499 41215  2319  7090 27635 12141 24638  1682  5588 18882
 47739 33904  1616 10366 29806 24983 29635 24673  5473 39419 10964  2361
  5098  7517  8742 26825 19900 28294 47185 36448  7629 33692 40366 41557
 16740 35752 37784 40415  1246  3368 33263 41982 47011 24105 33443 10771
 14117 27640 15279 30913]",10,"[100094. 100094. 100093. 100098. 100094. 100092. 100113. 100093. 100095.
 100093. 100049. 100048. 100073. 100048. 100064. 100048. 100049. 100072.
 100051. 100073. 100069. 100062. 100071. 100082. 100063. 100064. 100064.
 100054. 100074. 100059.  14397.   7738.  15079.  15077.  14133.  13617.
  13600.  15073.  27881.  27885.   8667.   7361.   7740.   7751. 100084.
 100079. 100049.   7351.   7745.  13620. 100072. 100075. 100072. 100077.
 100082. 100074. 100073. 100072. 100074. 100074. 100072. 100075. 100074.
 100072. 100074. 100087. 100072. 100074. 100079. 100074. 100085. 100074.
 100079. 100075. 100073. 100085. 100072. 100077. 100075. 100074. 100084.
 100074. 100082. 100072. 100085. 100085. 100074. 100074. 100074. 100084.
 100072. 100083. 100070. 100082. 100074. 100084. 100079. 100078. 100080.
 100083.]",rooney 10,0.8524534648421626,fair-bpa,5.839313125610351,30204,0.1546005487080791,60,10,10,10,10,2156,24723,adult
"[30244 37343 47739 18654 24295  1682 32090 47185 26593 19900 48629 23467
 34385 15604 28264 29806 41840  6524  5473 34998  2361 33253 33263 13499
 10771 39917 39084 45600 42935 10964 41982 35752 14117 22361 33904 42639
 40366 12141 36448 15279 33443 24638 27640 30913 24983 12677 45929 33692
  8742  2319 18882 39419 28294 24105 41557 32918 39038 38856 38024  1616
  5098 41215 19080  3368 16422  5588 27635 38334 26825  3105 37784 40748
 14238 18463  7745 42262 29635  7517 34729  7090 37176 16740 35830 24008
 22385  7629 40415 24510 14579 24673 17538 18408 10366 28318 20283  1246
 47011  4625  8710 31828]",0,"[100069. 100074. 100072. 100070. 100082. 100072. 100067. 100075. 100072.
 100072. 100098. 100093. 100065. 100067. 100084. 100074. 100067. 100093.
 100079. 100069. 100074. 100068. 100072. 100072. 100084. 100073. 100092.
 100067. 100068. 100085. 100083. 100085. 100079. 100070. 100075. 100070.
 100082. 100074. 100074. 100080. 100074. 100073. 100078. 100083. 100087.
 100065. 100113. 100074. 100073. 100072. 100074. 100074. 100077. 100082.
 100072. 100094. 100070. 100095. 100068. 100074. 100079. 100075. 100069.
 100084. 100094. 100074. 100082. 100094. 100085. 100064. 100074. 100068.
 100064. 100064. 100064. 100064. 100072. 100075. 100064. 100077. 100065.
 100085. 100064. 100064. 100067. 100084. 100074. 100064. 100068. 100074.
 100071. 100064. 100072. 100073. 100093. 100074. 100070. 100069. 100079.
 100068.]",rooney 0,1.0,fair-bpa2,0.21944761276245117,3792,0.01940952458949265,91,3,4,0,2,30,3672,adult
