subset,r_value,subset_scores,fairness_goal,utility_ratio,method,wall_time,total_positions_seen,position_seen_prop,count_White,count_Black,count_Asian,count_AmIn,count_Other,sa_count,ra_count,data_name
"[45929 48629 38856 16422 32918 38334  6524 20283 23467 39084 24983 10964
 16740 26825 35752  3368  7629 10771 28264 30913 41982 24105 24295 27635
 40366 15279  5098  5473  8710 14117 27640  7090 28294  7517 33904 41215
 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443 33692 36448
 37343 37784 39419 40415  8742 24638 28318 39917  1682  2319 10366 13499
 19900 26593 29635 33263 41557 47739 17538 18654 22361 39038 42639 47011
  4625 19080 30244 34998 14579 31828 33253 38024 40748 42935 15604 22385
 32090 41840 45600 12677 34385 37176  2103  3105  4898  6751  7745 13455
 14238 17789 18408 18463]",0,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100093. 100093.
 100092. 100087. 100085. 100085. 100085. 100085. 100084. 100084. 100084.
 100084. 100083. 100083. 100082. 100082. 100082. 100082. 100080. 100079.
 100079. 100079. 100079. 100078. 100077. 100077. 100075. 100075. 100075.
 100075. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100073. 100073.
 100073. 100073. 100072. 100072. 100072. 100072. 100072. 100072. 100072.
 100072. 100072. 100072. 100071. 100070. 100070. 100070. 100070. 100070.
 100069. 100069. 100069. 100069. 100068. 100068. 100068. 100068. 100068.
 100068. 100067. 100067. 100067. 100067. 100067. 100065. 100065. 100065.
 100064. 100064. 100064. 100064. 100064. 100064. 100064. 100064. 100064.
 100064.]",rooney 0,1.0,fair-fagins,34.478652000427246,81900,0.41920887760533965,90,3,5,0,2,7127,53392,adult
"[45929 28318 24295 19740 28264 48629 38856 16422 32918 38334  6524 20283
 23467 39084 24983 10964 16740 26825 35752  3368  7629 10771 30913 41982
 24105 27635 40366 15279  5098  5473  8710 14117 27640  7090 28294  7517
 33904 41215 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443
 33692 36448 37343 37784 39419 40415  8742 24638 39917  1682  2319 10366
 13499 19900 26593 29635 33263 41557 47739 17538 18654 22361 39038 42639
 47011  4625 19080 30244 34998 14579 31828 33253 38024 40748 42935 15604
 22385 32090 41840 45600 12677 34385 37176  2103  3105  4898  6751  7745
 13455 14238 17789 18408]",1,"[100113. 100073. 100082.  27885. 100084. 100098. 100095. 100094. 100094.
 100094. 100093. 100093. 100093. 100092. 100087. 100085. 100085. 100085.
 100085. 100084. 100084. 100084. 100083. 100083. 100082. 100082. 100082.
 100080. 100079. 100079. 100079. 100079. 100078. 100077. 100077. 100075.
 100075. 100075. 100075. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100073. 100073. 100073. 100072. 100072. 100072. 100072. 100072. 100072.
 100072. 100072. 100072. 100072. 100071. 100070. 100070. 100070. 100070.
 100070. 100069. 100069. 100069. 100069. 100068. 100068. 100068. 100068.
 100068. 100068. 100067. 100067. 100067. 100067. 100067. 100065. 100065.
 100065. 100064. 100064. 100064. 100064. 100064. 100064. 100064. 100064.
 100064.]",rooney 1,0.9927875389169027,fair-fagins,48.31413912773132,100912,0.5165226649195365,89,3,5,1,2,9827,61604,adult
"[45929 48629 28318 39917 24295 37343 19740 33797 28264  8710 38856 16422
 32918 38334  6524 20283 23467 39084 24983 10964 16740 26825 35752  3368
  7629 10771 30913 41982 24105 27635 40366 15279  5098  5473 14117 27640
  7090 28294  7517 33904 41215 47185  1246  1616  2361  5588 12141 18882
 24673 29806 33443 33692 36448 37784 39419 40415  8742 24638  1682  2319
 10366 13499 19900 26593 29635 33263 41557 47739 17538 18654 22361 39038
 42639 47011  4625 19080 30244 34998 14579 31828 33253 38024 40748 42935
 15604 22385 32090 41840 45600 12677 34385 37176  2103  3105  4898  6751
  7745 13455 14238 17789]",2,"[100113. 100098. 100073. 100073. 100082. 100074.  27885.  27881. 100084.
 100079. 100095. 100094. 100094. 100094. 100093. 100093. 100093. 100092.
 100087. 100085. 100085. 100085. 100085. 100084. 100084. 100084. 100083.
 100083. 100082. 100082. 100082. 100080. 100079. 100079. 100079. 100078.
 100077. 100077. 100075. 100075. 100075. 100075. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100073. 100073. 100072. 100072. 100072. 100072. 100072.
 100072. 100072. 100072. 100072. 100072. 100071. 100070. 100070. 100070.
 100070. 100070. 100069. 100069. 100069. 100069. 100068. 100068. 100068.
 100068. 100068. 100068. 100067. 100067. 100067. 100067. 100067. 100065.
 100065. 100065. 100064. 100064. 100064. 100064. 100064. 100064. 100064.
 100064.]",rooney 2,0.9855746781352183,fair-fagins,53.067806243896484,112624,0.5764710699807543,88,3,5,2,2,11712,65776,adult
"[45929 48629 38856 28318 39917 26593 24295 37343 17538 19740 33797 18189
 28264  8710 38873 16422 32918 38334  6524 20283 23467 39084 24983 10964
 16740 26825 35752  3368  7629 10771 30913 41982 24105 27635 40366 15279
  5098  5473 14117 27640  7090 28294  7517 33904 41215 47185  1246  1616
  2361  5588 12141 18882 24673 29806 33443 33692 36448 37784 39419 40415
  8742 24638  1682  2319 10366 13499 19900 29635 33263 41557 47739 18654
 22361 39038 42639 47011  4625 19080 30244 34998 14579 31828 33253 38024
 40748 42935 15604 22385 32090 41840 45600 12677 34385 37176  2103  3105
  4898  6751  7745 13455]",3,"[100113. 100098. 100095. 100073. 100073. 100072. 100082. 100074. 100071.
  27885.  27881.  15079. 100084. 100079. 100049. 100094. 100094. 100094.
 100093. 100093. 100093. 100092. 100087. 100085. 100085. 100085. 100085.
 100084. 100084. 100084. 100083. 100083. 100082. 100082. 100082. 100080.
 100079. 100079. 100079. 100078. 100077. 100077. 100075. 100075. 100075.
 100075. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100073. 100073. 100072.
 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100070.
 100070. 100070. 100070. 100070. 100069. 100069. 100069. 100069. 100068.
 100068. 100068. 100068. 100068. 100068. 100067. 100067. 100067. 100067.
 100067. 100065. 100065. 100065. 100064. 100064. 100064. 100064. 100064.
 100064.]",rooney 3,0.9770810831551927,fair-fagins,55.39160370826721,113292,0.5798902583841775,86,3,5,3,3,11891,65728,adult
"[45929 48629 38856 16422 28318 39917 26593 31111 24295 37343 17538  4625
 19740 33797 18189 25195 28264  8710 38873 45470 32918 38334  6524 20283
 23467 39084 24983 10964 16740 26825 35752  3368  7629 10771 30913 41982
 24105 27635 40366 15279  5098  5473 14117 27640  7090 28294  7517 33904
 41215 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443 33692
 36448 37784 39419 40415  8742 24638  1682  2319 10366 13499 19900 29635
 33263 41557 47739 18654 22361 39038 42639 47011 19080 30244 34998 14579
 31828 33253 38024 40748 42935 15604 22385 32090 41840 45600 12677 34385
 37176  2103  3105  4898]",4,"[100113. 100098. 100095. 100094. 100073. 100073. 100072. 100064. 100082.
 100074. 100071. 100069.  27885.  27881.  15079.  15077. 100084. 100079.
 100049.  13620. 100094. 100094. 100093. 100093. 100093. 100092. 100087.
 100085. 100085. 100085. 100085. 100084. 100084. 100084. 100083. 100083.
 100082. 100082. 100082. 100080. 100079. 100079. 100079. 100078. 100077.
 100077. 100075. 100075. 100075. 100075. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100073. 100073. 100072. 100072. 100072. 100072. 100072. 100072.
 100072. 100072. 100072. 100070. 100070. 100070. 100070. 100070. 100069.
 100069. 100069. 100068. 100068. 100068. 100068. 100068. 100068. 100067.
 100067. 100067. 100067. 100067. 100065. 100065. 100065. 100064. 100064.
 100064.]",rooney 4,0.9599509010255366,fair-fagins,51.0443332195282,114916,0.5882027762990869,84,4,4,4,4,12353,65504,adult
"[45929 48629 38856 16422 32918 28318 39917 26593 31111  4656 24295 37343
 17538  4625  6751 19740 33797 18189 25195 30115 28264  8710 38873 45470
 39163 38334  6524 20283 23467 39084 24983 10964 16740 26825 35752  3368
  7629 10771 30913 41982 24105 27635 40366 15279  5098  5473 14117 27640
  7090 28294  7517 33904 41215 47185  1246  1616  2361  5588 12141 18882
 24673 29806 33443 33692 36448 37784 39419 40415  8742 24638  1682  2319
 10366 13499 19900 29635 33263 41557 47739 18654 22361 39038 42639 47011
 19080 30244 34998 14579 31828 33253 38024 40748 42935 15604 22385 32090
 41840 45600 12677 34385]",5,"[100113. 100098. 100095. 100094. 100094. 100073. 100073. 100072. 100064.
 100051. 100082. 100074. 100071. 100069. 100064.  27885.  27881.  15079.
  15077.  15073. 100084. 100079. 100049.  13620.   8667. 100094. 100093.
 100093. 100093. 100092. 100087. 100085. 100085. 100085. 100085. 100084.
 100084. 100084. 100083. 100083. 100082. 100082. 100082. 100080. 100079.
 100079. 100079. 100078. 100077. 100077. 100075. 100075. 100075. 100075.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100073. 100073. 100072. 100072.
 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100070. 100070.
 100070. 100070. 100070. 100069. 100069. 100069. 100068. 100068. 100068.
 100068. 100068. 100068. 100067. 100067. 100067. 100067. 100067. 100065.
 100065.]",rooney 5,0.9423239934765194,fair-fagins,57.51190209388733,120268,0.615597231890586,80,5,5,5,5,13514,66212,adult
"[45929 48629 38856 16422 32918 38334 28318 39917 26593 31111  4656  6225
 24295 37343 17538  4625  6751 37262 19740 33797 18189 25195 30115 24376
 28264  8710 38873 45470 39163 25359  6524 20283 23467 39084 24983 10964
 16740 26825 35752  3368  7629 10771 30913 41982 24105 27635 40366 15279
  5098  5473 14117 27640  7090 28294  7517 33904 41215 47185  1246  1616
  2361  5588 12141 18882 24673 29806 33443 33692 36448 37784 39419 40415
  8742 24638  1682  2319 10366 13499 19900 29635 33263 41557 47739 18654
 22361 39038 42639 47011 19080 30244 34998 14579 31828 33253 38024 40748
 42935 15604 22385 32090]",6,"[100113. 100098. 100095. 100094. 100094. 100094. 100073. 100073. 100072.
 100064. 100051. 100049. 100082. 100074. 100071. 100069. 100064. 100064.
  27885.  27881.  15079.  15077.  15073.  14397. 100084. 100079. 100049.
  13620.   8667.   7751. 100093. 100093. 100093. 100092. 100087. 100085.
 100085. 100085. 100085. 100084. 100084. 100084. 100083. 100083. 100082.
 100082. 100082. 100080. 100079. 100079. 100079. 100078. 100077. 100077.
 100075. 100075. 100075. 100075. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100073. 100073. 100072. 100072. 100072. 100072. 100072. 100072. 100072.
 100072. 100072. 100070. 100070. 100070. 100070. 100070. 100069. 100069.
 100069. 100068. 100068. 100068. 100068. 100068. 100068. 100067. 100067.
 100067.]",rooney 6,0.9245371065679371,fair-fagins,62.98335790634155,127468,0.6524507595921543,76,6,6,6,6,14819,68192,adult
"[45929 48629 38856 16422 32918 38334  6524 28318 39917 26593 31111  4656
  6225 10962 24295 37343 17538  4625  6751 37262 42768 19740 33797 18189
 25195 30115 24376 10033 28264  8710 38873 45470 39163 25359 18252 20283
 23467 39084 24983 10964 16740 26825 35752  3368  7629 10771 30913 41982
 24105 27635 40366 15279  5098  5473 14117 27640  7090 28294  7517 33904
 41215 47185  1246  1616  2361  5588 12141 18882 24673 29806 33443 33692
 36448 37784 39419 40415  8742 24638  1682  2319 10366 13499 19900 29635
 33263 41557 47739 18654 22361 39038 42639 47011 19080 30244 34998 14579
 31828 33253 38024 40748]",7,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100073. 100073.
 100072. 100064. 100051. 100049. 100049. 100082. 100074. 100071. 100069.
 100064. 100064. 100063.  27885.  27881.  15079.  15077.  15073.  14397.
  14133. 100084. 100079. 100049.  13620.   8667.   7751.   7745. 100093.
 100093. 100092. 100087. 100085. 100085. 100085. 100085. 100084. 100084.
 100084. 100083. 100083. 100082. 100082. 100082. 100080. 100079. 100079.
 100079. 100078. 100077. 100077. 100075. 100075. 100075. 100075. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100073. 100073. 100072. 100072. 100072.
 100072. 100072. 100072. 100072. 100072. 100072. 100070. 100070. 100070.
 100070. 100070. 100069. 100069. 100069. 100068. 100068. 100068. 100068.
 100068.]",rooney 7,0.9067226404568315,fair-fagins,70.16077446937561,128308,0.6567503378240039,72,7,7,7,7,15036,68164,adult
"[45929 48629 38856 16422 32918 38334  6524 20283 28318 39917 26593 31111
  4656  6225 10962 15737 24295 37343 17538  4625  6751 37262 42768 13422
 19740 33797 18189 25195 30115 24376 10033 16847 28264  8710 38873 45470
 39163 25359 18252 14779 23467 39084 24983 10964 16740 26825 35752  3368
  7629 10771 30913 41982 24105 27635 40366 15279  5098  5473 14117 27640
  7090 28294  7517 33904 41215 47185  1246  1616  2361  5588 12141 18882
 24673 29806 33443 33692 36448 37784 39419 40415  8742 24638  1682  2319
 10366 13499 19900 29635 33263 41557 47739 18654 22361 39038 42639 47011
 19080 30244 34998 14579]",8,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100093. 100073.
 100073. 100072. 100064. 100051. 100049. 100049. 100048. 100082. 100074.
 100071. 100069. 100064. 100064. 100063. 100062.  27885.  27881.  15079.
  15077.  15073.  14397.  14133.  13617. 100084. 100079. 100049.  13620.
   8667.   7751.   7745.   7740. 100093. 100092. 100087. 100085. 100085.
 100085. 100085. 100084. 100084. 100084. 100083. 100083. 100082. 100082.
 100082. 100080. 100079. 100079. 100079. 100078. 100077. 100077. 100075.
 100075. 100075. 100075. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100073.
 100073. 100072. 100072. 100072. 100072. 100072. 100072. 100072. 100072.
 100072. 100070. 100070. 100070. 100070. 100070. 100069. 100069. 100069.
 100068.]",rooney 8,0.8888556139814966,fair-fagins,65.89020895957947,129928,0.6650423815568568,68,8,8,8,8,15465,68068,adult
"[45929 48629 38856 16422 32918 38334  6524 20283 23467 28318 39917 26593
 31111  4656  6225 10962 15737 32907 24295 37343 17538  4625  6751 37262
 42768 13422 12093 19740 33797 18189 25195 30115 24376 10033 16847 47926
 28264  8710 38873 45470 39163 25359 18252 14779  9072 39084 24983 10964
 16740 26825 35752  3368  7629 10771 30913 41982 24105 27635 40366 15279
  5098  5473 14117 27640  7090 28294  7517 33904 41215 47185  1246  1616
  2361  5588 12141 18882 24673 29806 33443 33692 36448 37784 39419 40415
  8742 24638  1682  2319 10366 13499 19900 29635 33263 41557 47739 18654
 22361 39038 42639 47011]",9,"[100113. 100098. 100095. 100094. 100094. 100094. 100093. 100093. 100093.
 100073. 100073. 100072. 100064. 100051. 100049. 100049. 100048. 100048.
 100082. 100074. 100071. 100069. 100064. 100064. 100063. 100062. 100059.
  27885.  27881.  15079.  15077.  15073.  14397.  14133.  13617.  13600.
 100084. 100079. 100049.  13620.   8667.   7751.   7745.   7740.   7361.
 100092. 100087. 100085. 100085. 100085. 100085. 100084. 100084. 100084.
 100083. 100083. 100082. 100082. 100082. 100080. 100079. 100079. 100079.
 100078. 100077. 100077. 100075. 100075. 100075. 100075. 100074. 100074.
 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074. 100074.
 100074. 100074. 100074. 100073. 100073. 100072. 100072. 100072. 100072.
 100072. 100072. 100072. 100072. 100072. 100070. 100070. 100070. 100070.
 100070.]",rooney 9,0.8709484177981385,fair-fagins,65.52173066139221,130204,0.6664551001187503,64,9,9,9,9,15528,68092,adult
